input,target
-8.0000,-17.0000
-7.8750,-16.6250
-7.7500,-16.2500
-7.6250,-15.8750
-7.5000,-15.5000
-7.3750,-15.1250
-7.2500,-14.7500
-7.1250,-14.3750
-7.0000,-14.0000
-6.8750,-13.6250
-6.7500,-13.2500
-6.6250,-12.8750
-6.5000,-12.5000
-6.3750,-12.1250
-6.2500,-11.7500
-6.1250,-11.3750
-6.0000,-11.0000
-5.8750,-10.6250
-5.7500,-10.2500
-5.6250,-9.8750
-5.5000,-9.5000
-5.3750,-9.1250
-5.2500,-8.7500
-5.1250,-8.3750
-5.0000,-8.0000
-4.8750,-7.6250
-4.7500,-7.2500
-4.6250,-6.8750
-4.5000,-6.5000
-4.3750,-6.1250
-4.2500,-5.7500
-4.1250,-5.3750
-4.0000,-5.0000
-3.8750,-4.6250
-3.7500,-4.2500
-3.6250,-3.8750
-3.5000,-3.5000
-3.3750,-3.1250
-3.2500,-2.7500
-3.1250,-2.3750
-3.0000,-2.0000
-2.8750,-1.6250
-2.7500,-1.2500
-2.6250,-0.8750
-2.5000,-0.5000
-2.3750,-0.1250
-2.2500,0.2500
-2.1250,0.6250
-2.0000,1.0000
-1.8750,1.3750
-1.7500,1.7500
-1.6250,2.1250
-1.5000,2.5000
-1.3750,2.8750
-1.2500,3.2500
-1.1250,3.6250
-1.0000,4.0000
-0.8750,4.3750
-0.7500,4.7500
-0.6250,5.1250
-0.5000,5.5000
-0.3750,5.8750
-0.2500,6.2500
-0.1250,6.6250
0.0000,7.0000
0.1250,7.3750
0.2500,7.7500
0.3750,8.1250
0.5000,8.5000
0.6250,8.8750
0.7500,9.2500
0.8750,9.6250
1.0000,10.0000
1.1250,10.3750
1.2500,10.7500
1.3750,11.1250
1.5000,11.5000
1.6250,11.8750
1.7500,12.2500
1.8750,12.6250
2.0000,13.0000
2.1250,13.3750
2.2500,13.7500
2.3750,14.1250
2.5000,14.5000
2.6250,14.8750
2.7500,15.2500
2.8750,15.6250
3.0000,16.0000
3.1250,16.3750
3.2500,16.7500
3.3750,17.1250
3.5000,17.5000
3.6250,17.8750
3.7500,18.2500
3.8750,18.6250
4.0000,19.0000
4.1250,19.3750
4.2500,19.7500
4.3750,20.1250
4.5000,20.5000
4.6250,20.8750
4.7500,21.2500
4.8750,21.6250
5.0000,22.0000
5.1250,22.3750
5.2500,22.7500
5.3750,23.1250
5.5000,23.5000
5.6250,23.8750
5.7500,24.2500
5.8750,24.6250
6.0000,25.0000
6.1250,25.3750
6.2500,25.7500
6.3750,26.1250
6.5000,26.5000
6.6250,26.8750
6.7500,27.2500
6.8750,27.6250
7.0000,28.0000
7.1250,28.3750
7.2500,28.7500
7.3750,29.1250
7.5000,29.5000
7.6250,29.8750
7.7500,30.2500
7.8750,30.6250
