a,b,c,target
-1.5000,-1.5000,-1.5000,1.7500
-1.5000,-1.5000,-1.0000,2.0000
-1.5000,-1.5000,-0.5000,2.2500
-1.5000,-1.5000,0.0000,2.5000
-1.5000,-1.5000,0.5000,2.7500
-1.5000,-1.5000,1.0000,3.0000
-1.5000,-1.0000,-1.5000,0.2500
-1.5000,-1.0000,-1.0000,0.5000
-1.5000,-1.0000,-0.5000,0.7500
-1.5000,-1.0000,0.0000,1.0000
-1.5000,-1.0000,0.5000,1.2500
-1.5000,-1.0000,1.0000,1.5000
-1.5000,-0.5000,-1.5000,-1.2500
-1.5000,-0.5000,-1.0000,-1.0000
-1.5000,-0.5000,-0.5000,-0.7500
-1.5000,-0.5000,0.0000,-0.5000
-1.5000,-0.5000,0.5000,-0.2500
-1.5000,-0.5000,1.0000,0.0000
-1.5000,0.0000,-1.5000,-2.7500
-1.5000,0.0000,-1.0000,-2.5000
-1.5000,0.0000,-0.5000,-2.2500
-1.5000,0.0000,0.0000,-2.0000
-1.5000,0.0000,0.5000,-1.7500
-1.5000,0.0000,1.0000,-1.5000
-1.5000,0.5000,-1.5000,-4.2500
-1.5000,0.5000,-1.0000,-4.0000
-1.5000,0.5000,-0.5000,-3.7500
-1.5000,0.5000,0.0000,-3.5000
-1.5000,0.5000,0.5000,-3.2500
-1.5000,0.5000,1.0000,-3.0000
-1.5000,1.0000,-1.5000,-5.7500
-1.5000,1.0000,-1.0000,-5.5000
-1.5000,1.0000,-0.5000,-5.2500
-1.5000,1.0000,0.0000,-5.0000
-1.5000,1.0000,0.5000,-4.7500
-1.5000,1.0000,1.0000,-4.5000
-1.2500,-1.5000,-1.5000,2.2500
-1.2500,-1.5000,-1.0000,2.5000
-1.2500,-1.5000,-0.5000,2.7500
-1.2500,-1.5000,0.0000,3.0000
-1.2500,-1.5000,0.5000,3.2500
-1.2500,-1.5000,1.0000,3.5000
-1.2500,-1.0000,-1.5000,0.7500
-1.2500,-1.0000,-1.0000,1.0000
-1.2500,-1.0000,-0.5000,1.2500
-1.2500,-1.0000,0.0000,1.5000
-1.2500,-1.0000,0.5000,1.7500
-1.2500,-1.0000,1.0000,2.0000
-1.2500,-0.5000,-1.5000,-0.7500
-1.2500,-0.5000,-1.0000,-0.5000
-1.2500,-0.5000,-0.5000,-0.2500
-1.2500,-0.5000,0.0000,0.0000
-1.2500,-0.5000,0.5000,0.2500
-1.2500,-0.5000,1.0000,0.5000
-1.2500,0.0000,-1.5000,-2.2500
-1.2500,0.0000,-1.0000,-2.0000
-1.2500,0.0000,-0.5000,-1.7500
-1.2500,0.0000,0.0000,-1.5000
-1.2500,0.0000,0.5000,-1.2500
-1.2500,0.0000,1.0000,-1.0000
-1.2500,0.5000,-1.5000,-3.7500
-1.2500,0.5000,-1.0000,-3.5000
-1.2500,0.5000,-0.5000,-3.2500
-1.2500,0.5000,0.0000,-3.0000
-1.2500,0.5000,0.5000,-2.7500
-1.2500,0.5000,1.0000,-2.5000
-1.2500,1.0000,-1.5000,-5.2500
-1.2500,1.0000,-1.0000,-5.0000
-1.2500,1.0000,-0.5000,-4.7500
-1.2500,1.0000,0.0000,-4.5000
-1.2500,1.0000,0.5000,-4.2500
-1.2500,1.0000,1.0000,-4.0000
-1.0000,-1.5000,-1.5000,2.7500
-1.0000,-1.5000,-1.0000,3.0000
-1.0000,-1.5000,-0.5000,3.2500
-1.0000,-1.5000,0.0000,3.5000
-1.0000,-1.5000,0.5000,3.7500
-1.0000,-1.5000,1.0000,4.0000
-1.0000,-1.0000,-1.5000,1.2500
-1.0000,-1.0000,-1.0000,1.5000
-1.0000,-1.0000,-0.5000,1.7500
-1.0000,-1.0000,0.0000,2.0000
-1.0000,-1.0000,0.5000,2.2500
-1.0000,-1.0000,1.0000,2.5000
-1.0000,-0.5000,-1.5000,-0.2500
-1.0000,-0.5000,-1.0000,0.0000
-1.0000,-0.5000,-0.5000,0.2500
-1.0000,-0.5000,0.0000,0.5000
-1.0000,-0.5000,0.5000,0.7500
-1.0000,-0.5000,1.0000,1.0000
-1.0000,0.0000,-1.5000,-1.7500
-1.0000,0.0000,-1.0000,-1.5000
-1.0000,0.0000,-0.5000,-1.2500
-1.0000,0.0000,0.0000,-1.0000
-1.0000,0.0000,0.5000,-0.7500
-1.0000,0.0000,1.0000,-0.5000
-1.0000,0.5000,-1.5000,-3.2500
-1.0000,0.5000,-1.0000,-3.0000
-1.0000,0.5000,-0.5000,-2.7500
-1.0000,0.5000,0.0000,-2.5000
-1.0000,0.5000,0.5000,-2.2500
-1.0000,0.5000,1.0000,-2.0000
-1.0000,1.0000,-1.5000,-4.7500
-1.0000,1.0000,-1.0000,-4.5000
-1.0000,1.0000,-0.5000,-4.2500
-1.0000,1.0000,0.0000,-4.0000
-1.0000,1.0000,0.5000,-3.7500
-1.0000,1.0000,1.0000,-3.5000
-0.7500,-1.5000,-1.5000,3.2500
-0.7500,-1.5000,-1.0000,3.5000
-0.7500,-1.5000,-0.5000,3.7500
-0.7500,-1.5000,0.0000,4.0000
-0.7500,-1.5000,0.5000,4.2500
-0.7500,-1.5000,1.0000,4.5000
-0.7500,-1.0000,-1.5000,1.7500
-0.7500,-1.0000,-1.0000,2.0000
-0.7500,-1.0000,-0.5000,2.2500
-0.7500,-1.0000,0.0000,2.5000
-0.7500,-1.0000,0.5000,2.7500
-0.7500,-1.0000,1.0000,3.0000
-0.7500,-0.5000,-1.5000,0.2500
-0.7500,-0.5000,-1.0000,0.5000
-0.7500,-0.5000,-0.5000,0.7500
-0.7500,-0.5000,0.0000,1.0000
-0.7500,-0.5000,0.5000,1.2500
-0.7500,-0.5000,1.0000,1.5000
-0.7500,0.0000,-1.5000,-1.2500
-0.7500,0.0000,-1.0000,-1.0000
-0.7500,0.0000,-0.5000,-0.7500
-0.7500,0.0000,0.0000,-0.5000
-0.7500,0.0000,0.5000,-0.2500
-0.7500,0.0000,1.0000,0.0000
-0.7500,0.5000,-1.5000,-2.7500
-0.7500,0.5000,-1.0000,-2.5000
-0.7500,0.5000,-0.5000,-2.2500
-0.7500,0.5000,0.0000,-2.0000
-0.7500,0.5000,0.5000,-1.7500
-0.7500,0.5000,1.0000,-1.5000
-0.7500,1.0000,-1.5000,-4.2500
-0.7500,1.0000,-1.0000,-4.0000
-0.7500,1.0000,-0.5000,-3.7500
-0.7500,1.0000,0.0000,-3.5000
-0.7500,1.0000,0.5000,-3.2500
-0.7500,1.0000,1.0000,-3.0000
-0.5000,-1.5000,-1.5000,3.7500
-0.5000,-1.5000,-1.0000,4.0000
-0.5000,-1.5000,-0.5000,4.2500
-0.5000,-1.5000,0.0000,4.5000
-0.5000,-1.5000,0.5000,4.7500
-0.5000,-1.5000,1.0000,5.0000
-0.5000,-1.0000,-1.5000,2.2500
-0.5000,-1.0000,-1.0000,2.5000
-0.5000,-1.0000,-0.5000,2.7500
-0.5000,-1.0000,0.0000,3.0000
-0.5000,-1.0000,0.5000,3.2500
-0.5000,-1.0000,1.0000,3.5000
-0.5000,-0.5000,-1.5000,0.7500
-0.5000,-0.5000,-1.0000,1.0000
-0.5000,-0.5000,-0.5000,1.2500
-0.5000,-0.5000,0.0000,1.5000
-0.5000,-0.5000,0.5000,1.7500
-0.5000,-0.5000,1.0000,2.0000
-0.5000,0.0000,-1.5000,-0.7500
-0.5000,0.0000,-1.0000,-0.5000
-0.5000,0.0000,-0.5000,-0.2500
-0.5000,0.0000,0.0000,0.0000
-0.5000,0.0000,0.5000,0.2500
-0.5000,0.0000,1.0000,0.5000
-0.5000,0.5000,-1.5000,-2.2500
-0.5000,0.5000,-1.0000,-2.0000
-0.5000,0.5000,-0.5000,-1.7500
-0.5000,0.5000,0.0000,-1.5000
-0.5000,0.5000,0.5000,-1.2500
-0.5000,0.5000,1.0000,-1.0000
-0.5000,1.0000,-1.5000,-3.7500
-0.5000,1.0000,-1.0000,-3.5000
-0.5000,1.0000,-0.5000,-3.2500
-0.5000,1.0000,0.0000,-3.0000
