color,shape,target
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
green,square,review
amber,circle,review
green,triangle,review
amber,square,review
green,circle,review
amber,triangle,review
