color,shape,label,weight
red,circle,accept,0.5000
blue,triangle,accept,0.6000
red,square,accept,0.7000
blue,circle,accept,0.8000
red,triangle,accept,0.9000
blue,square,accept,1.0000
red,circle,accept,0.5500
blue,triangle,accept,0.6500
red,square,accept,NaN
blue,circle,accept,0.8500
red,triangle,accept,0.9500
blue,square,accept,0.5000
red,circle,accept,0.6000
blue,triangle,accept,0.7000
red,square,accept,0.8000
blue,circle,accept,0.9000
red,triangle,accept,1.0000
blue,square,accept,0.5500
red,circle,accept,0.6500
blue,triangle,accept,0.7500
red,square,accept,0.8500
blue,circle,accept,0.9500
red,triangle,accept,0.5000
blue,square,accept,0.6000
red,circle,accept,0.7000
blue,triangle,accept,NaN
red,square,accept,0.9000
blue,circle,accept,1.0000
red,triangle,accept,0.5500
blue,square,accept,0.6500
red,circle,accept,0.7500
blue,triangle,accept,0.8500
red,square,accept,0.9500
blue,circle,accept,0.5000
red,triangle,accept,0.6000
blue,square,accept,0.7000
red,circle,accept,0.8000
blue,triangle,accept,0.9000
red,square,accept,1.0000
blue,circle,accept,0.5500
red,triangle,accept,0.6500
blue,square,accept,0.7500
red,circle,accept,NaN
blue,triangle,accept,0.9500
red,square,accept,0.5000
blue,circle,accept,0.6000
red,triangle,accept,0.7000
blue,square,accept,0.8000
red,circle,accept,0.9000
blue,triangle,accept,1.0000
red,square,accept,0.5500
blue,circle,accept,0.6500
red,triangle,accept,0.7500
blue,square,accept,0.8500
red,circle,accept,0.9500
blue,triangle,accept,0.5000
red,square,accept,0.6000
blue,circle,accept,0.7000
red,triangle,accept,0.8000
blue,square,accept,NaN
red,circle,accept,1.0000
blue,triangle,accept,0.5500
red,square,accept,0.6500
blue,circle,accept,0.7500
red,triangle,accept,0.8500
blue,square,accept,0.9500
red,circle,accept,0.5000
blue,triangle,accept,0.6000
red,square,accept,0.7000
blue,circle,accept,0.8000
red,triangle,accept,0.9000
blue,square,accept,1.0000
red,circle,accept,0.5500
blue,triangle,accept,0.6500
red,square,accept,0.7500
blue,circle,accept,0.8500
red,triangle,accept,NaN
blue,square,accept,0.5000
red,circle,accept,0.6000
blue,triangle,accept,0.7000
red,square,accept,0.8000
blue,circle,accept,0.9000
red,triangle,accept,1.0000
blue,square,accept,0.5500
red,circle,accept,0.6500
blue,triangle,accept,0.7500
red,square,accept,0.8500
blue,circle,accept,0.9500
red,triangle,accept,0.5000
blue,square,accept,0.6000
red,circle,accept,0.7000
blue,triangle,accept,0.8000
red,square,accept,0.9000
blue,circle,accept,NaN
red,triangle,accept,0.5500
blue,square,accept,0.6500
