input,label,weight
green,review,NaN
amber,review,0.6500
green,review,0.7500
amber,review,0.8500
green,review,0.9500
amber,review,0.5000
green,review,0.6000
amber,review,0.7000
green,review,0.8000
amber,review,0.9000
green,review,1.0000
amber,review,0.5500
green,review,0.6500
amber,review,0.7500
green,review,0.8500
amber,review,0.9500
green,review,NaN
amber,review,0.6000
green,review,0.7000
amber,review,0.8000
green,review,0.9000
amber,review,1.0000
green,review,0.5500
amber,review,0.6500
green,review,0.7500
amber,review,0.8500
green,review,0.9500
amber,review,0.5000
green,review,0.6000
amber,review,0.7000
green,review,0.8000
amber,review,0.9000
green,review,1.0000
amber,review,NaN
green,review,0.6500
amber,review,0.7500
green,review,0.8500
amber,review,0.9500
green,review,0.5000
amber,review,0.6000
green,review,0.7000
amber,review,0.8000
green,review,0.9000
amber,review,1.0000
green,review,0.5500
amber,review,0.6500
green,review,0.7500
amber,review,0.8500
green,review,0.9500
amber,review,0.5000
green,review,NaN
amber,review,0.7000
green,review,0.8000
amber,review,0.9000
green,review,1.0000
amber,review,0.5500
green,review,0.6500
amber,review,0.7500
green,review,0.8500
amber,review,0.9500
green,review,0.5000
amber,review,0.6000
green,review,0.7000
amber,review,0.8000
green,review,0.9000
amber,review,1.0000
green,review,0.5500
amber,review,NaN
green,review,0.7500
amber,review,0.8500
green,review,0.9500
amber,review,0.5000
green,review,0.6000
amber,review,0.7000
green,review,0.8000
amber,review,0.9000
green,review,1.0000
amber,review,0.5500
green,review,0.6500
amber,review,0.7500
green,review,0.8500
amber,review,0.9500
green,review,0.5000
amber,review,0.6000
green,review,NaN
amber,review,0.8000
green,review,0.9000
amber,review,1.0000
green,review,0.5500
amber,review,0.6500
green,review,0.7500
amber,review,0.8500
green,review,0.9500
amber,review,0.5000
green,review,0.6000
amber,review,0.7000
green,review,0.8000
amber,review,0.9000
green,review,1.0000
amber,review,0.5500
green,review,0.6500
amber,review,NaN
green,review,0.8500
amber,review,0.9500
green,review,0.5000
amber,review,0.6000
green,review,0.7000
amber,review,0.8000
green,review,0.9000
amber,review,1.0000
green,review,0.5500
amber,review,0.6500
green,review,0.7500
amber,review,0.8500
green,review,0.9500
amber,review,0.5000
green,review,0.6000
amber,review,0.7000
green,review,NaN
amber,review,0.9000
green,review,1.0000
amber,review,0.5500
green,review,0.6500
amber,review,0.7500
green,review,0.8500
amber,review,0.9500
green,review,0.5000
amber,review,0.6000
green,review,0.7000
amber,review,0.8000
green,review,0.9000
amber,review,1.0000
green,review,0.5500
amber,review,0.6500
green,review,0.7500
amber,review,NaN
green,review,0.9500
amber,review,0.5000
green,review,0.6000
amber,review,0.7000
green,review,0.8000
amber,review,0.9000
green,review,1.0000
amber,review,0.5500
green,review,0.6500
amber,review,0.7500
green,review,0.8500
amber,review,0.9500
green,review,0.5000
amber,review,0.6000
green,review,0.7000
amber,review,0.8000
green,review,NaN
amber,review,1.0000
green,review,0.5500
amber,review,0.6500
green,review,0.7500
amber,review,0.8500
green,review,0.9500
amber,review,0.5000
green,review,0.6000
amber,review,0.7000
green,review,0.8000
amber,review,0.9000
green,review,1.0000
amber,review,0.5500
green,review,0.6500
amber,review,0.7500
green,review,0.8500
amber,review,NaN
green,review,0.5000
amber,review,0.6000
green,review,0.7000
amber,review,0.8000
green,review,0.9000
amber,review,1.0000
green,review,0.5500
amber,review,0.6500
green,review,0.7500
amber,review,0.8500
green,review,0.9500
amber,review,0.5000
green,review,0.6000
amber,review,0.7000
green,review,0.8000
amber,review,0.9000
green,review,NaN
amber,review,0.5500
green,review,0.6500
amber,review,0.7500
green,review,0.8500
amber,review,0.9500
green,review,0.5000
amber,review,0.6000
green,review,0.7000
amber,review,0.8000
green,review,0.9000
amber,review,1.0000
green,review,0.5500
amber,review,0.6500
green,review,0.7500
amber,review,0.8500
green,review,0.9500
amber,review,NaN
green,review,0.6000
amber,review,0.7000
green,review,0.8000
amber,review,0.9000
green,review,1.0000
amber,review,0.5500
green,review,0.6500
amber,review,0.7500
green,review,0.8500
amber,review,0.9500
green,review,0.5000
amber,review,0.6000
green,review,0.7000
amber,review,0.8000
green,review,0.9000
amber,review,1.0000
green,review,NaN
amber,review,0.6500
green,review,0.7500
amber,review,0.8500
green,review,0.9500
amber,review,0.5000
green,review,0.6000
amber,review,0.7000
green,review,0.8000
amber,review,0.9000
green,review,1.0000
amber,review,0.5500
green,review,0.6500
amber,review,0.7500
green,review,0.8500
amber,review,0.9500
green,review,0.5000
amber,review,NaN
green,review,0.7000
amber,review,0.8000
