color,shape,label,weight
red,square,accept,NaN
green,triangle,review,NaN
blue,circle,accept,0.8500
amber,square,review,0.9000
red,triangle,accept,0.9500
green,circle,review,1.0000
blue,square,accept,0.5000
amber,triangle,review,0.5500
red,circle,accept,0.6000
green,square,review,0.6500
blue,triangle,accept,0.7000
amber,circle,review,0.7500
red,square,accept,0.8000
green,triangle,review,0.8500
blue,circle,accept,0.9000
amber,square,review,0.9500
red,triangle,accept,1.0000
green,circle,review,NaN
blue,square,accept,0.5500
amber,triangle,review,0.6000
red,circle,accept,0.6500
green,square,review,0.7000
blue,triangle,accept,0.7500
amber,circle,review,0.8000
red,square,accept,0.8500
green,triangle,review,0.9000
blue,circle,accept,0.9500
amber,square,review,1.0000
red,triangle,accept,0.5000
green,circle,review,0.5500
blue,square,accept,0.6000
amber,triangle,review,0.6500
red,circle,accept,0.7000
green,square,review,0.7500
blue,triangle,accept,NaN
amber,circle,review,0.8500
red,square,accept,0.9000
green,triangle,review,0.9500
blue,circle,accept,1.0000
amber,square,review,0.5000
red,triangle,accept,0.5500
green,circle,review,0.6000
blue,square,accept,0.6500
amber,triangle,review,0.7000
red,circle,accept,0.7500
green,square,review,0.8000
blue,triangle,accept,0.8500
amber,circle,review,0.9000
red,square,accept,0.9500
green,triangle,review,1.0000
blue,circle,accept,0.5000
amber,square,review,NaN
red,triangle,accept,0.6000
green,circle,review,0.6500
blue,square,accept,0.7000
amber,triangle,review,0.7500
red,circle,accept,0.8000
green,square,review,0.8500
blue,triangle,accept,0.9000
amber,circle,review,0.9500
red,square,accept,1.0000
green,triangle,review,0.5000
blue,circle,accept,0.5500
amber,square,review,0.6000
red,triangle,accept,0.6500
green,circle,review,0.7000
blue,square,accept,0.7500
amber,triangle,review,0.8000
red,circle,accept,NaN
green,square,review,0.9000
blue,triangle,accept,0.9500
amber,circle,review,1.0000
red,square,accept,0.5000
green,triangle,review,0.5500
blue,circle,accept,0.6000
amber,square,review,0.6500
red,triangle,accept,0.7000
green,circle,review,0.7500
blue,square,accept,0.8000
amber,triangle,review,0.8500
red,circle,accept,0.9000
green,square,review,0.9500
blue,triangle,accept,1.0000
amber,circle,review,0.5000
red,square,accept,0.5500
green,triangle,review,NaN
blue,circle,accept,0.6500
amber,square,review,0.7000
red,triangle,accept,0.7500
green,circle,review,0.8000
blue,square,accept,0.8500
amber,triangle,review,0.9000
red,circle,accept,0.9500
green,square,review,1.0000
blue,triangle,accept,0.5000
amber,circle,review,0.5500
red,square,accept,0.6000
green,triangle,review,0.6500
blue,circle,accept,0.7000
amber,square,review,0.7500
red,triangle,accept,0.8000
green,circle,review,0.8500
blue,square,accept,NaN
amber,triangle,review,0.9500
red,circle,accept,1.0000
green,square,review,0.5000
blue,triangle,accept,0.5500
amber,circle,review,0.6000
red,square,accept,0.6500
green,triangle,review,0.7000
blue,circle,accept,0.7500
amber,square,review,0.8000
red,triangle,accept,0.8500
green,circle,review,0.9000
blue,square,accept,0.9500
amber,triangle,review,1.0000
red,circle,accept,0.5000
green,square,review,0.5500
blue,triangle,accept,0.6000
amber,circle,review,NaN
red,square,accept,0.7000
green,triangle,review,0.7500
blue,circle,accept,0.8000
amber,square,review,0.8500
red,triangle,accept,0.9000
green,circle,review,0.9500
blue,square,accept,1.0000
amber,triangle,review,0.5000
red,circle,accept,0.5500
green,square,review,0.6000
blue,triangle,accept,0.6500
amber,circle,review,0.7000
red,square,accept,0.7500
green,triangle,review,0.8000
blue,circle,accept,0.8500
amber,square,review,0.9000
red,triangle,accept,NaN
green,circle,review,1.0000
blue,square,accept,0.5000
amber,triangle,review,0.5500
red,circle,accept,0.6000
green,square,review,0.6500
blue,triangle,accept,0.7000
amber,circle,review,0.7500
red,square,accept,0.8000
green,triangle,review,0.8500
blue,circle,accept,0.9000
amber,square,review,0.9500
red,triangle,accept,1.0000
green,circle,review,0.5000
blue,square,accept,0.5500
amber,triangle,review,0.6000
red,circle,accept,0.6500
green,square,review,NaN
blue,triangle,accept,0.7500
amber,circle,review,0.8000
red,square,accept,0.8500
green,triangle,review,0.9000
blue,circle,accept,0.9500
amber,square,review,1.0000
red,triangle,accept,0.5000
green,circle,review,0.5500
blue,square,accept,0.6000
amber,triangle,review,0.6500
red,circle,accept,0.7000
green,square,review,0.7500
blue,triangle,accept,0.8000
amber,circle,review,0.8500
red,square,accept,0.9000
green,triangle,review,0.9500
blue,circle,accept,NaN
amber,square,review,0.5000
red,triangle,accept,0.5500
green,circle,review,0.6000
blue,square,accept,0.6500
amber,triangle,review,0.7000
red,circle,accept,0.7500
green,square,review,0.8000
blue,triangle,accept,0.8500
amber,circle,review,0.9000
red,square,accept,0.9500
green,triangle,review,1.0000
blue,circle,accept,0.5000
amber,square,review,0.5500
red,triangle,accept,0.6000
green,circle,review,0.6500
blue,square,accept,0.7000
amber,triangle,review,NaN
red,circle,accept,0.8000
green,square,review,0.8500
blue,triangle,accept,0.9000
amber,circle,review,0.9500
red,square,accept,1.0000
green,triangle,review,0.5000
blue,circle,accept,0.5500
amber,square,review,0.6000
red,triangle,accept,0.6500
green,circle,review,0.7000
blue,square,accept,0.7500
amber,triangle,review,0.8000
red,circle,accept,0.8500
green,square,review,0.9000
blue,triangle,accept,0.9500
amber,circle,review,1.0000
red,square,accept,NaN
green,triangle,review,0.5500
blue,circle,accept,0.6000
amber,square,review,0.6500
red,triangle,accept,0.7000
green,circle,review,0.7500
blue,square,accept,0.8000
amber,triangle,review,0.8500
red,circle,accept,0.9000
green,square,review,0.9500
blue,triangle,accept,1.0000
amber,circle,review,0.5000
red,square,accept,0.5500
green,triangle,review,0.6000
blue,circle,accept,0.6500
amber,square,review,0.7000
red,triangle,accept,0.7500
green,circle,review,NaN
blue,square,accept,0.8500
amber,triangle,review,0.9000
red,circle,accept,0.9500
green,square,review,1.0000
blue,triangle,accept,0.5000
amber,circle,review,0.5500
red,square,accept,0.6000
green,triangle,review,0.6500
blue,circle,accept,0.7000
