input,label,weight
red,accept,NaN
green,review,NaN
blue,accept,0.8500
amber,review,0.9000
red,accept,0.9500
green,review,1.0000
blue,accept,0.5000
amber,review,0.5500
red,accept,0.6000
green,review,0.6500
blue,accept,0.7000
amber,review,0.7500
red,accept,0.8000
green,review,0.8500
blue,accept,0.9000
amber,review,0.9500
red,accept,1.0000
green,review,NaN
blue,accept,0.5500
amber,review,0.6000
red,accept,0.6500
green,review,0.7000
blue,accept,0.7500
amber,review,0.8000
red,accept,0.8500
green,review,0.9000
blue,accept,0.9500
amber,review,1.0000
red,accept,0.5000
green,review,0.5500
blue,accept,0.6000
amber,review,0.6500
red,accept,0.7000
green,review,0.7500
blue,accept,NaN
amber,review,0.8500
red,accept,0.9000
green,review,0.9500
blue,accept,1.0000
amber,review,0.5000
red,accept,0.5500
green,review,0.6000
blue,accept,0.6500
amber,review,0.7000
red,accept,0.7500
green,review,0.8000
blue,accept,0.8500
amber,review,0.9000
red,accept,0.9500
green,review,1.0000
blue,accept,0.5000
amber,review,NaN
red,accept,0.6000
green,review,0.6500
blue,accept,0.7000
amber,review,0.7500
red,accept,0.8000
green,review,0.8500
blue,accept,0.9000
amber,review,0.9500
red,accept,1.0000
green,review,0.5000
blue,accept,0.5500
amber,review,0.6000
red,accept,0.6500
green,review,0.7000
blue,accept,0.7500
amber,review,0.8000
red,accept,NaN
green,review,0.9000
blue,accept,0.9500
amber,review,1.0000
red,accept,0.5000
green,review,0.5500
blue,accept,0.6000
amber,review,0.6500
red,accept,0.7000
green,review,0.7500
blue,accept,0.8000
amber,review,0.8500
red,accept,0.9000
green,review,0.9500
blue,accept,1.0000
amber,review,0.5000
red,accept,0.5500
green,review,NaN
blue,accept,0.6500
amber,review,0.7000
red,accept,0.7500
green,review,0.8000
blue,accept,0.8500
amber,review,0.9000
red,accept,0.9500
green,review,1.0000
blue,accept,0.5000
amber,review,0.5500
red,accept,0.6000
green,review,0.6500
blue,accept,0.7000
amber,review,0.7500
red,accept,0.8000
green,review,0.8500
blue,accept,NaN
amber,review,0.9500
red,accept,1.0000
green,review,0.5000
blue,accept,0.5500
amber,review,0.6000
red,accept,0.6500
green,review,0.7000
blue,accept,0.7500
amber,review,0.8000
red,accept,0.8500
green,review,0.9000
blue,accept,0.9500
amber,review,1.0000
red,accept,0.5000
green,review,0.5500
blue,accept,0.6000
amber,review,NaN
red,accept,0.7000
green,review,0.7500
blue,accept,0.8000
amber,review,0.8500
red,accept,0.9000
green,review,0.9500
blue,accept,1.0000
amber,review,0.5000
red,accept,0.5500
green,review,0.6000
blue,accept,0.6500
amber,review,0.7000
red,accept,0.7500
green,review,0.8000
blue,accept,0.8500
amber,review,0.9000
red,accept,NaN
green,review,1.0000
blue,accept,0.5000
amber,review,0.5500
red,accept,0.6000
green,review,0.6500
blue,accept,0.7000
amber,review,0.7500
red,accept,0.8000
green,review,0.8500
blue,accept,0.9000
amber,review,0.9500
red,accept,1.0000
green,review,0.5000
blue,accept,0.5500
amber,review,0.6000
red,accept,0.6500
green,review,NaN
blue,accept,0.7500
amber,review,0.8000
red,accept,0.8500
green,review,0.9000
blue,accept,0.9500
amber,review,1.0000
red,accept,0.5000
green,review,0.5500
blue,accept,0.6000
amber,review,0.6500
red,accept,0.7000
green,review,0.7500
blue,accept,0.8000
amber,review,0.8500
red,accept,0.9000
green,review,0.9500
blue,accept,NaN
amber,review,0.5000
red,accept,0.5500
green,review,0.6000
blue,accept,0.6500
amber,review,0.7000
red,accept,0.7500
green,review,0.8000
blue,accept,0.8500
amber,review,0.9000
red,accept,0.9500
green,review,1.0000
blue,accept,0.5000
amber,review,0.5500
red,accept,0.6000
green,review,0.6500
blue,accept,0.7000
amber,review,NaN
red,accept,0.8000
green,review,0.8500
blue,accept,0.9000
amber,review,0.9500
red,accept,1.0000
green,review,0.5000
blue,accept,0.5500
amber,review,0.6000
red,accept,0.6500
green,review,0.7000
blue,accept,0.7500
amber,review,0.8000
red,accept,0.8500
green,review,0.9000
blue,accept,0.9500
amber,review,1.0000
red,accept,NaN
green,review,0.5500
blue,accept,0.6000
amber,review,0.6500
red,accept,0.7000
green,review,0.7500
blue,accept,0.8000
amber,review,0.8500
red,accept,0.9000
green,review,0.9500
blue,accept,1.0000
amber,review,0.5000
red,accept,0.5500
green,review,0.6000
