color,shape,target
purple,oval,0
orange,star,1
amber,circle,0
amber,oval,1
red,hexagon,0
amber,circle,1
amber,hexagon,0
red,triangle,1
blue,oval,0
teal,hexagon,1
teal,triangle,0
amber,oval,1
yellow,hexagon,0
yellow,star,1
green,square,0
teal,square,1
blue,triangle,0
amber,circle,1
purple,oval,0
teal,hexagon,1
red,triangle,0
orange,square,1
green,hexagon,0
green,triangle,1
green,triangle,0
orange,circle,1
purple,square,0
red,triangle,1
green,circle,0
blue,square,1
green,star,0
teal,hexagon,1
orange,star,0
green,circle,1
yellow,oval,0
