color,shape,label,weight
orange,hexagon,1,0.259387
red,hexagon,0,0.649242
red,hexagon,1,0.012824
purple,square,0,0.542035
red,hexagon,1,0.453095
yellow,triangle,0,0.026805
green,square,1,
green,star,0,0.127056
blue,star,1,0.711721
yellow,hexagon,0,0.120815
teal,circle,1,0.976735
purple,oval,0,0.163329
blue,oval,1,0.629926
blue,oval,0,
blue,circle,1,0.616683
amber,triangle,0,0.251179
yellow,circle,1,0.527051
yellow,hexagon,0,0.967921
blue,square,1,0.361232
purple,circle,0,0.046655
amber,star,1,
blue,square,0,0.900346
purple,hexagon,1,0.184921
blue,hexagon,0,0.771284
amber,oval,1,0.447595
yellow,square,0,0.444958
teal,hexagon,1,0.166359
red,hexagon,0,
purple,hexagon,1,0.393130
red,star,0,0.038305
orange,hexagon,1,0.503588
orange,circle,0,0.493736
blue,square,1,0.998295
red,star,0,0.537200
amber,oval,1,
