input,label,weight
yellow,1,0.808704
orange,0,0.247803
teal,1,0.326860
purple,0,0.337162
red,1,0.086101
orange,0,0.811768
blue,1,
orange,0,0.615097
green,1,0.275140
amber,0,0.988200
green,1,0.548670
red,0,0.153990
yellow,1,0.337185
orange,0,
orange,1,0.262105
green,0,0.424738
blue,1,0.437119
purple,0,0.995950
amber,1,0.885648
red,0,0.911620
amber,1,
blue,0,0.465966
green,1,0.139126
orange,0,0.031646
blue,1,0.327824
amber,0,0.354224
purple,1,0.542560
purple,0,
yellow,1,0.378539
green,0,0.031336
red,1,0.550561
yellow,0,0.964108
green,1,0.054168
teal,0,0.922443
green,1,
