color,shape,target
yellow,square,1
purple,triangle,1
purple,hexagon,1
black,triangle,0
blue,triangle,1
white,triangle,0
red,square,0
orange,circle,0
yellow,circle,0
white,triangle,0
blue,hexagon,1
purple,triangle,1
black,square,0
purple,triangle,1
orange,hexagon,1
green,triangle,0
red,triangle,0
orange,triangle,1
purple,triangle,1
blue,hexagon,1
purple,circle,0
purple,circle,0
purple,square,1
orange,square,1
white,circle,1
black,square,0
purple,triangle,1
orange,hexagon,1
black,triangle,0
white,square,0
orange,circle,0
white,circle,1
blue,hexagon,1
black,triangle,0
yellow,circle,0
red,triangle,0
green,square,0
white,triangle,0
green,triangle,0
blue,circle,0
red,circle,1
red,triangle,0
red,hexagon,0
red,hexagon,0
blue,triangle,1
purple,hexagon,1
orange,circle,0
orange,circle,0
blue,circle,0
blue,hexagon,1
purple,circle,0
black,hexagon,0
red,circle,1
purple,circle,0
blue,triangle,1
purple,triangle,1
black,hexagon,0
black,circle,1
black,square,0
black,triangle,0
green,hexagon,0
purple,triangle,1
white,hexagon,0
purple,square,1
white,hexagon,0
blue,circle,0
white,hexagon,0
orange,hexagon,1
white,hexagon,0
blue,triangle,1
white,square,0
white,hexagon,0
purple,hexagon,1
yellow,triangle,1
purple,triangle,1
purple,circle,0
black,circle,1
purple,triangle,1
yellow,circle,0
green,triangle,0
orange,hexagon,1
red,circle,1
white,hexagon,0
green,triangle,0
blue,square,1
white,hexagon,0
black,hexagon,0
white,square,0
white,triangle,0
red,hexagon,0
purple,circle,0
green,triangle,0
blue,hexagon,1
black,triangle,0
blue,hexagon,1
green,hexagon,0
red,circle,1
white,circle,1
orange,triangle,1
yellow,square,1
purple,square,1
red,triangle,0
black,hexagon,0
white,square,0
blue,hexagon,1
purple,circle,0
white,hexagon,0
black,square,0
white,hexagon,0
white,circle,1
white,circle,1
white,hexagon,0
green,square,0
red,circle,1
orange,square,1
black,triangle,0
orange,triangle,1
white,hexagon,0
blue,hexagon,1
purple,circle,0
white,square,0
orange,circle,0
purple,triangle,1
yellow,circle,0
orange,square,1
orange,circle,0
blue,square,1
white,hexagon,0
black,triangle,0
black,hexagon,0
white,triangle,0
blue,triangle,1
white,hexagon,0
black,square,0
red,triangle,0
green,hexagon,0
orange,circle,0
white,hexagon,0
red,triangle,0
red,square,0
blue,triangle,1
red,circle,1
white,triangle,0
yellow,hexagon,1
yellow,hexagon,1
orange,triangle,1
red,triangle,0
orange,triangle,1
yellow,square,1
red,circle,1
orange,hexagon,1
green,triangle,0
purple,square,1
orange,hexagon,1
purple,circle,0
blue,circle,0
orange,triangle,1
black,triangle,0
green,triangle,0
red,hexagon,0
red,circle,1
yellow,hexagon,1
white,triangle,0
green,circle,1
white,circle,1
blue,circle,0
green,square,0
yellow,triangle,1
red,hexagon,0
white,hexagon,0
black,circle,1
white,circle,1
white,hexagon,0
red,square,0
yellow,hexagon,1
black,square,0
purple,square,1
yellow,triangle,1
black,square,0
blue,hexagon,1
red,circle,1
purple,hexagon,1
red,circle,1
orange,circle,0
white,hexagon,0
purple,circle,0
red,triangle,0
green,circle,1
orange,square,1
green,circle,1
orange,triangle,1
purple,circle,0
black,hexagon,0
black,hexagon,0
black,hexagon,0
purple,hexagon,1
yellow,hexagon,1
green,hexagon,0
yellow,hexagon,1
green,triangle,0
blue,circle,0
blue,triangle,1
white,circle,1
blue,circle,0
red,square,0
orange,circle,0
blue,hexagon,1
white,triangle,0
purple,square,1
white,circle,1
green,hexagon,0
blue,hexagon,1
green,square,0
yellow,square,1
orange,triangle,1
yellow,circle,0
green,circle,1
red,circle,1
white,circle,1
black,hexagon,0
green,triangle,0
yellow,triangle,1
purple,hexagon,1
red,square,0
black,triangle,0
purple,hexagon,1
black,circle,1
white,square,0
blue,hexagon,1
yellow,hexagon,1
orange,square,1
black,triangle,0
blue,square,1
white,square,0
white,circle,1
purple,square,1
orange,circle,0
green,hexagon,0
green,hexagon,0
white,square,0
white,circle,1
blue,triangle,1
orange,triangle,1
purple,circle,0
yellow,square,1
blue,circle,0
white,square,0
purple,circle,0
red,hexagon,0
yellow,triangle,1
green,triangle,0
blue,square,1
yellow,triangle,1
green,square,0
red,square,0
orange,square,1
black,square,0
orange,triangle,1
blue,square,1
black,circle,1
green,hexagon,0
orange,circle,0
orange,square,1
orange,triangle,1
orange,triangle,1
orange,circle,0
yellow,hexagon,1
red,square,0
