color,shape,label,weight
yellow,square,1,3.50
purple,triangle,1,4.50
purple,hexagon,1,5.50
black,triangle,0,4.25
blue,triangle,1,
white,triangle,0,4.25
red,square,0,2.75
orange,circle,0,2.50
yellow,circle,0,2.50
white,triangle,0,4.25
blue,hexagon,1,5.00
purple,triangle,1,4.50
black,square,0,3.25
purple,triangle,1,4.50
orange,hexagon,1,5.50
green,triangle,0,4.25
red,triangle,0,3.75
orange,triangle,1,4.50
purple,triangle,1,4.50
blue,hexagon,1,5.00
purple,circle,0,2.50
purple,circle,0,2.50
purple,square,1,3.50
orange,square,1,3.50
white,circle,1,2.25
black,square,0,3.25
purple,triangle,1,4.50
orange,hexagon,1,5.50
black,triangle,0,4.25
white,square,0,
orange,circle,0,2.50
white,circle,1,2.25
blue,hexagon,1,5.00
black,triangle,0,4.25
yellow,circle,0,2.50
red,triangle,0,3.75
green,square,0,3.25
white,triangle,0,4.25
green,triangle,0,4.25
blue,circle,0,2.00
red,circle,1,1.75
red,triangle,0,3.75
red,hexagon,0,4.75
red,hexagon,0,4.75
blue,triangle,1,4.00
purple,hexagon,1,5.50
orange,circle,0,2.50
orange,circle,0,2.50
blue,circle,0,2.00
blue,hexagon,1,5.00
purple,circle,0,2.50
black,hexagon,0,5.25
red,circle,1,1.75
purple,circle,0,2.50
blue,triangle,1,
purple,triangle,1,4.50
black,hexagon,0,5.25
black,circle,1,2.25
black,square,0,3.25
black,triangle,0,4.25
green,hexagon,0,5.25
purple,triangle,1,4.50
white,hexagon,0,5.25
purple,square,1,3.50
white,hexagon,0,5.25
blue,circle,0,2.00
white,hexagon,0,5.25
orange,hexagon,1,5.50
white,hexagon,0,5.25
blue,triangle,1,4.00
white,square,0,3.25
white,hexagon,0,5.25
purple,hexagon,1,5.50
yellow,triangle,1,4.50
purple,triangle,1,4.50
purple,circle,0,2.50
black,circle,1,2.25
purple,triangle,1,4.50
yellow,circle,0,2.50
green,triangle,0,
orange,hexagon,1,5.50
red,circle,1,1.75
white,hexagon,0,5.25
green,triangle,0,4.25
blue,square,1,3.00
white,hexagon,0,5.25
black,hexagon,0,5.25
white,square,0,3.25
white,triangle,0,4.25
red,hexagon,0,4.75
purple,circle,0,2.50
green,triangle,0,4.25
blue,hexagon,1,5.00
black,triangle,0,4.25
blue,hexagon,1,5.00
green,hexagon,0,5.25
red,circle,1,1.75
white,circle,1,2.25
orange,triangle,1,4.50
yellow,square,1,3.50
purple,square,1,3.50
red,triangle,0,3.75
black,hexagon,0,5.25
white,square,0,3.25
blue,hexagon,1,
purple,circle,0,2.50
white,hexagon,0,5.25
black,square,0,3.25
white,hexagon,0,5.25
white,circle,1,2.25
white,circle,1,2.25
white,hexagon,0,5.25
green,square,0,3.25
red,circle,1,1.75
orange,square,1,3.50
black,triangle,0,4.25
orange,triangle,1,4.50
white,hexagon,0,5.25
blue,hexagon,1,5.00
purple,circle,0,2.50
white,square,0,3.25
orange,circle,0,2.50
purple,triangle,1,4.50
yellow,circle,0,2.50
orange,square,1,3.50
orange,circle,0,2.50
blue,square,1,3.00
white,hexagon,0,5.25
black,triangle,0,4.25
black,hexagon,0,
white,triangle,0,4.25
blue,triangle,1,4.00
white,hexagon,0,5.25
black,square,0,3.25
red,triangle,0,3.75
green,hexagon,0,5.25
orange,circle,0,2.50
white,hexagon,0,5.25
red,triangle,0,3.75
red,square,0,2.75
blue,triangle,1,4.00
red,circle,1,1.75
white,triangle,0,4.25
yellow,hexagon,1,5.50
yellow,hexagon,1,5.50
orange,triangle,1,4.50
red,triangle,0,3.75
orange,triangle,1,4.50
yellow,square,1,3.50
red,circle,1,1.75
orange,hexagon,1,5.50
green,triangle,0,4.25
purple,square,1,3.50
orange,hexagon,1,5.50
purple,circle,0,
blue,circle,0,2.00
orange,triangle,1,4.50
black,triangle,0,4.25
green,triangle,0,4.25
red,hexagon,0,4.75
red,circle,1,1.75
yellow,hexagon,1,5.50
white,triangle,0,4.25
green,circle,1,2.25
white,circle,1,2.25
blue,circle,0,2.00
green,square,0,3.25
yellow,triangle,1,4.50
red,hexagon,0,4.75
white,hexagon,0,5.25
black,circle,1,2.25
white,circle,1,2.25
white,hexagon,0,5.25
red,square,0,2.75
yellow,hexagon,1,5.50
black,square,0,3.25
purple,square,1,3.50
yellow,triangle,1,4.50
black,square,0,3.25
blue,hexagon,1,
red,circle,1,1.75
purple,hexagon,1,5.50
red,circle,1,1.75
orange,circle,0,2.50
white,hexagon,0,5.25
purple,circle,0,2.50
red,triangle,0,3.75
green,circle,1,2.25
orange,square,1,3.50
green,circle,1,2.25
orange,triangle,1,4.50
purple,circle,0,2.50
black,hexagon,0,5.25
black,hexagon,0,5.25
black,hexagon,0,5.25
purple,hexagon,1,5.50
yellow,hexagon,1,5.50
green,hexagon,0,5.25
yellow,hexagon,1,5.50
green,triangle,0,4.25
blue,circle,0,2.00
blue,triangle,1,4.00
white,circle,1,2.25
blue,circle,0,2.00
red,square,0,
orange,circle,0,2.50
blue,hexagon,1,5.00
white,triangle,0,4.25
purple,square,1,3.50
white,circle,1,2.25
green,hexagon,0,5.25
blue,hexagon,1,5.00
green,square,0,3.25
yellow,square,1,3.50
orange,triangle,1,4.50
yellow,circle,0,2.50
green,circle,1,2.25
red,circle,1,1.75
white,circle,1,2.25
black,hexagon,0,5.25
green,triangle,0,4.25
yellow,triangle,1,4.50
purple,hexagon,1,5.50
red,square,0,2.75
black,triangle,0,4.25
purple,hexagon,1,5.50
black,circle,1,2.25
white,square,0,3.25
blue,hexagon,1,5.00
yellow,hexagon,1,
orange,square,1,3.50
black,triangle,0,4.25
blue,square,1,3.00
white,square,0,3.25
white,circle,1,2.25
purple,square,1,3.50
orange,circle,0,2.50
green,hexagon,0,5.25
green,hexagon,0,5.25
white,square,0,3.25
white,circle,1,2.25
blue,triangle,1,4.00
orange,triangle,1,4.50
purple,circle,0,2.50
yellow,square,1,3.50
blue,circle,0,2.00
white,square,0,3.25
purple,circle,0,2.50
red,hexagon,0,4.75
yellow,triangle,1,4.50
green,triangle,0,4.25
blue,square,1,3.00
yellow,triangle,1,4.50
green,square,0,3.25
red,square,0,
orange,square,1,3.50
black,square,0,3.25
orange,triangle,1,4.50
blue,square,1,3.00
black,circle,1,2.25
green,hexagon,0,5.25
orange,circle,0,2.50
orange,square,1,3.50
orange,triangle,1,4.50
orange,triangle,1,4.50
orange,circle,0,2.50
yellow,hexagon,1,5.50
red,square,0,2.75
orange,circle,0,2.50
white,hexagon,0,5.25
black,hexagon,0,5.25
orange,hexagon,1,5.50
red,hexagon,0,4.75
orange,hexagon,1,5.50
black,hexagon,0,5.25
yellow,triangle,1,4.50
blue,triangle,1,4.00
green,square,0,3.25
purple,hexagon,1,5.50
orange,circle,0,
white,circle,1,2.25
black,triangle,0,4.25
purple,triangle,1,4.50
green,hexagon,0,5.25
white,triangle,0,4.25
red,triangle,0,3.75
blue,square,1,3.00
yellow,square,1,3.50
white,hexagon,0,5.25
blue,hexagon,1,5.00
red,square,0,2.75
purple,square,1,3.50
blue,circle,0,2.00
black,triangle,0,4.25
blue,triangle,1,4.00
green,triangle,0,4.25
white,triangle,0,4.25
green,circle,1,2.25
black,triangle,0,4.25
black,circle,1,2.25
black,triangle,0,4.25
orange,hexagon,1,5.50
purple,hexagon,1,5.50
purple,hexagon,1,5.50
green,square,0,
green,circle,1,2.25
blue,triangle,1,4.00
blue,circle,0,2.00
green,triangle,0,4.25
white,hexagon,0,5.25
yellow,square,1,3.50
red,square,0,2.75
red,triangle,0,3.75
red,square,0,2.75
blue,circle,0,2.00
blue,square,1,3.00
green,triangle,0,4.25
green,triangle,0,4.25
blue,circle,0,2.00
orange,hexagon,1,5.50
black,hexagon,0,5.25
blue,square,1,3.00
black,hexagon,0,5.25
blue,hexagon,1,5.00
yellow,triangle,1,4.50
green,square,0,3.25
blue,circle,0,2.00
yellow,circle,0,2.50
red,circle,1,1.75
blue,square,1,
orange,square,1,3.50
blue,hexagon,1,5.00
blue,hexagon,1,5.00
yellow,triangle,1,4.50
white,square,0,3.25
green,square,0,3.25
red,circle,1,1.75
black,square,0,3.25
green,triangle,0,4.25
orange,circle,0,2.50
green,circle,1,2.25
green,hexagon,0,5.25
white,square,0,3.25
black,square,0,3.25
blue,circle,0,2.00
white,triangle,0,4.25
black,square,0,3.25
black,hexagon,0,5.25
blue,square,1,3.00
white,circle,1,2.25
red,triangle,0,3.75
white,triangle,0,4.25
black,square,0,3.25
blue,hexagon,1,5.00
purple,triangle,1,
green,hexagon,0,5.25
orange,hexagon,1,5.50
white,triangle,0,4.25
yellow,triangle,1,4.50
yellow,triangle,1,4.50
orange,hexagon,1,5.50
yellow,triangle,1,4.50
red,square,0,2.75
red,hexagon,0,4.75
orange,triangle,1,4.50
purple,triangle,1,4.50
white,hexagon,0,5.25
green,circle,1,2.25
black,square,0,3.25
green,circle,1,2.25
orange,square,1,3.50
green,circle,1,2.25
orange,circle,0,2.50
red,square,0,2.75
yellow,circle,0,2.50
orange,hexagon,1,5.50
red,square,0,2.75
purple,square,1,3.50
white,square,0,3.25
black,triangle,0,
white,circle,1,2.25
blue,circle,0,2.00
green,circle,1,2.25
orange,square,1,3.50
black,hexagon,0,5.25
black,square,0,3.25
black,triangle,0,4.25
white,square,0,3.25
yellow,circle,0,2.50
blue,hexagon,1,5.00
red,hexagon,0,4.75
blue,circle,0,2.00
green,square,0,3.25
red,square,0,2.75
white,square,0,3.25
yellow,circle,0,2.50
orange,triangle,1,4.50
white,hexagon,0,5.25
green,square,0,3.25
green,triangle,0,4.25
orange,triangle,1,4.50
yellow,circle,0,2.50
orange,triangle,1,4.50
red,hexagon,0,4.75
black,triangle,0,
blue,hexagon,1,5.00
green,hexagon,0,5.25
red,triangle,0,3.75
green,square,0,3.25
yellow,circle,0,2.50
yellow,hexagon,1,5.50
green,hexagon,0,5.25
white,circle,1,2.25
red,circle,1,1.75
yellow,hexagon,1,5.50
red,square,0,2.75
purple,square,1,3.50
black,circle,1,2.25
black,hexagon,0,5.25
blue,square,1,3.00
green,triangle,0,4.25
red,square,0,2.75
green,hexagon,0,5.25
black,circle,1,2.25
black,circle,1,2.25
red,triangle,0,3.75
green,hexagon,0,5.25
red,triangle,0,3.75
black,triangle,0,4.25
orange,square,1,
green,square,0,3.25
orange,hexagon,1,5.50
black,hexagon,0,5.25
white,square,0,3.25
green,hexagon,0,5.25
black,triangle,0,4.25
green,triangle,0,4.25
black,square,0,3.25
purple,triangle,1,4.50
black,triangle,0,4.25
red,hexagon,0,4.75
yellow,triangle,1,4.50
red,triangle,0,3.75
black,hexagon,0,5.25
yellow,triangle,1,4.50
black,triangle,0,4.25
red,circle,1,1.75
blue,circle,0,2.00
red,circle,1,1.75
orange,triangle,1,4.50
black,circle,1,2.25
green,triangle,0,4.25
blue,triangle,1,4.00
black,square,0,3.25
yellow,square,1,
blue,triangle,1,4.00
blue,triangle,1,4.00
white,triangle,0,4.25
red,hexagon,0,4.75
green,triangle,0,4.25
blue,hexagon,1,5.00
purple,hexagon,1,5.50
black,hexagon,0,5.25
purple,circle,0,2.50
green,square,0,3.25
blue,circle,0,2.00
yellow,triangle,1,4.50
white,square,0,3.25
blue,circle,0,2.00
yellow,circle,0,2.50
purple,circle,0,2.50
red,hexagon,0,4.75
orange,square,1,3.50
red,square,0,2.75
blue,circle,0,2.00
yellow,triangle,1,4.50
green,hexagon,0,5.25
green,circle,1,2.25
green,triangle,0,4.25
purple,circle,0,
black,circle,1,2.25
blue,triangle,1,4.00
red,square,0,2.75
red,square,0,2.75
yellow,square,1,3.50
green,triangle,0,4.25
red,circle,1,1.75
orange,triangle,1,4.50
black,square,0,3.25
purple,triangle,1,4.50
orange,triangle,1,4.50
black,square,0,3.25
white,hexagon,0,5.25
green,hexagon,0,5.25
blue,hexagon,1,5.00
red,square,0,2.75
green,hexagon,0,5.25
purple,triangle,1,4.50
orange,square,1,3.50
green,hexagon,0,5.25
orange,triangle,1,4.50
green,square,0,3.25
purple,hexagon,1,5.50
green,triangle,0,4.25
red,circle,1,
purple,square,1,3.50
green,square,0,3.25
black,circle,1,2.25
blue,square,1,3.00
white,square,0,3.25
yellow,circle,0,2.50
blue,square,1,3.00
black,triangle,0,4.25
orange,triangle,1,4.50
red,triangle,0,3.75
black,square,0,3.25
orange,hexagon,1,5.50
orange,circle,0,2.50
purple,hexagon,1,5.50
red,circle,1,1.75
black,hexagon,0,5.25
black,circle,1,2.25
