input,label,weight
yellow,1,3.50
purple,1,4.50
purple,1,5.50
black,0,4.25
blue,1,4.00
white,0,4.25
red,0,2.75
orange,1,2.50
yellow,1,2.50
white,0,
blue,1,5.00
purple,1,4.50
black,0,3.25
purple,1,4.50
orange,1,5.50
green,0,4.25
red,0,3.75
orange,1,4.50
purple,1,4.50
blue,1,5.00
purple,1,2.50
purple,1,2.50
purple,1,3.50
orange,1,3.50
white,0,2.25
black,0,3.25
purple,1,4.50
orange,1,5.50
black,0,4.25
white,0,3.25
orange,1,2.50
white,0,2.25
blue,1,5.00
black,0,4.25
yellow,1,
red,0,3.75
green,0,3.25
white,0,4.25
green,0,4.25
blue,1,2.00
red,0,1.75
red,0,3.75
red,0,4.75
red,0,4.75
blue,1,4.00
purple,1,5.50
orange,1,2.50
orange,1,2.50
blue,1,2.00
blue,1,5.00
purple,1,2.50
black,0,5.25
red,0,1.75
purple,1,2.50
blue,1,4.00
purple,1,4.50
black,0,5.25
black,0,2.25
black,0,3.25
black,0,
green,0,5.25
purple,1,4.50
white,0,5.25
purple,1,3.50
white,0,5.25
blue,1,2.00
white,0,5.25
orange,1,5.50
white,0,5.25
blue,1,4.00
white,0,3.25
white,0,5.25
purple,1,5.50
yellow,1,4.50
purple,1,4.50
purple,1,2.50
black,0,2.25
purple,1,4.50
yellow,1,2.50
green,0,4.25
orange,1,5.50
red,0,1.75
white,0,5.25
green,0,4.25
blue,1,
white,0,5.25
black,0,5.25
white,0,3.25
white,0,4.25
red,0,4.75
purple,1,2.50
green,0,4.25
blue,1,5.00
black,0,4.25
blue,1,5.00
green,0,5.25
red,0,1.75
white,0,2.25
orange,1,4.50
yellow,1,3.50
purple,1,3.50
red,0,3.75
black,0,5.25
white,0,3.25
blue,1,5.00
purple,1,2.50
white,0,5.25
black,0,3.25
white,0,5.25
white,0,
white,0,2.25
white,0,5.25
green,0,3.25
red,0,1.75
orange,1,3.50
black,0,4.25
orange,1,4.50
white,0,5.25
blue,1,5.00
purple,1,2.50
white,0,3.25
orange,1,2.50
purple,1,4.50
yellow,1,2.50
orange,1,3.50
orange,1,2.50
blue,1,3.00
white,0,5.25
black,0,4.25
black,0,5.25
white,0,4.25
blue,1,4.00
white,0,5.25
black,0,3.25
red,0,
green,0,5.25
orange,1,2.50
white,0,5.25
red,0,3.75
red,0,2.75
blue,1,4.00
red,0,1.75
white,0,4.25
yellow,1,5.50
yellow,1,5.50
orange,1,4.50
red,0,3.75
orange,1,4.50
yellow,1,3.50
red,0,1.75
orange,1,5.50
green,0,4.25
purple,1,3.50
orange,1,5.50
purple,1,2.50
blue,1,2.00
orange,1,4.50
black,0,4.25
green,0,4.25
red,0,
red,0,1.75
yellow,1,5.50
white,0,4.25
green,0,2.25
white,0,2.25
blue,1,2.00
green,0,3.25
yellow,1,4.50
red,0,4.75
white,0,5.25
black,0,2.25
white,0,2.25
white,0,5.25
red,0,2.75
yellow,1,5.50
black,0,3.25
purple,1,3.50
yellow,1,4.50
black,0,3.25
blue,1,5.00
red,0,1.75
purple,1,5.50
red,0,1.75
orange,1,2.50
white,0,
purple,1,2.50
red,0,3.75
green,0,2.25
orange,1,3.50
green,0,2.25
orange,1,4.50
purple,1,2.50
black,0,5.25
black,0,5.25
black,0,5.25
purple,1,5.50
yellow,1,5.50
green,0,5.25
yellow,1,5.50
green,0,4.25
blue,1,2.00
blue,1,4.00
white,0,2.25
blue,1,2.00
red,0,2.75
orange,1,2.50
blue,1,5.00
white,0,4.25
purple,1,3.50
white,0,
green,0,5.25
blue,1,5.00
green,0,3.25
yellow,1,3.50
orange,1,4.50
yellow,1,2.50
green,0,2.25
red,0,1.75
white,0,2.25
black,0,5.25
green,0,4.25
yellow,1,4.50
purple,1,5.50
red,0,2.75
black,0,4.25
purple,1,5.50
black,0,2.25
white,0,3.25
blue,1,5.00
yellow,1,5.50
orange,1,3.50
black,0,4.25
blue,1,3.00
white,0,3.25
white,0,
purple,1,3.50
orange,1,2.50
green,0,5.25
green,0,5.25
white,0,3.25
white,0,2.25
blue,1,4.00
orange,1,4.50
purple,1,2.50
yellow,1,3.50
blue,1,2.00
white,0,3.25
purple,1,2.50
red,0,4.75
yellow,1,4.50
green,0,4.25
blue,1,3.00
yellow,1,4.50
green,0,3.25
red,0,2.75
orange,1,3.50
black,0,3.25
orange,1,4.50
blue,1,3.00
black,0,
green,0,5.25
orange,1,2.50
orange,1,3.50
orange,1,4.50
orange,1,4.50
orange,1,2.50
yellow,1,5.50
red,0,2.75
orange,1,2.50
white,0,5.25
black,0,5.25
orange,1,5.50
red,0,4.75
orange,1,5.50
black,0,5.25
yellow,1,4.50
blue,1,4.00
green,0,3.25
purple,1,5.50
orange,1,2.50
white,0,2.25
black,0,4.25
purple,1,4.50
green,0,5.25
white,0,
red,0,3.75
blue,1,3.00
yellow,1,3.50
white,0,5.25
blue,1,5.00
red,0,2.75
purple,1,3.50
blue,1,2.00
black,0,4.25
blue,1,4.00
green,0,4.25
white,0,4.25
green,0,2.25
black,0,4.25
black,0,2.25
black,0,4.25
orange,1,5.50
purple,1,5.50
purple,1,5.50
green,0,3.25
green,0,2.25
blue,1,4.00
blue,1,2.00
green,0,4.25
white,0,
yellow,1,3.50
red,0,2.75
red,0,3.75
red,0,2.75
blue,1,2.00
blue,1,3.00
green,0,4.25
green,0,4.25
blue,1,2.00
orange,1,5.50
black,0,5.25
blue,1,3.00
black,0,5.25
blue,1,5.00
yellow,1,4.50
green,0,3.25
blue,1,2.00
yellow,1,2.50
red,0,1.75
blue,1,3.00
orange,1,3.50
blue,1,5.00
blue,1,5.00
yellow,1,4.50
white,0,
green,0,3.25
red,0,1.75
black,0,3.25
green,0,4.25
orange,1,2.50
green,0,2.25
green,0,5.25
white,0,3.25
black,0,3.25
blue,1,2.00
white,0,4.25
black,0,3.25
black,0,5.25
blue,1,3.00
white,0,2.25
red,0,3.75
white,0,4.25
black,0,3.25
blue,1,5.00
purple,1,4.50
green,0,5.25
orange,1,5.50
white,0,4.25
yellow,1,4.50
yellow,1,
orange,1,5.50
yellow,1,4.50
red,0,2.75
red,0,4.75
orange,1,4.50
purple,1,4.50
white,0,5.25
green,0,2.25
black,0,3.25
green,0,2.25
orange,1,3.50
green,0,2.25
orange,1,2.50
red,0,2.75
yellow,1,2.50
orange,1,5.50
red,0,2.75
purple,1,3.50
white,0,3.25
black,0,4.25
white,0,2.25
blue,1,2.00
green,0,2.25
orange,1,3.50
black,0,
black,0,3.25
black,0,4.25
white,0,3.25
yellow,1,2.50
blue,1,5.00
red,0,4.75
blue,1,2.00
green,0,3.25
red,0,2.75
white,0,3.25
yellow,1,2.50
orange,1,4.50
white,0,5.25
green,0,3.25
green,0,4.25
orange,1,4.50
yellow,1,2.50
orange,1,4.50
red,0,4.75
black,0,4.25
blue,1,5.00
green,0,5.25
red,0,3.75
green,0,3.25
yellow,1,
yellow,1,5.50
green,0,5.25
white,0,2.25
red,0,1.75
yellow,1,5.50
red,0,2.75
purple,1,3.50
black,0,2.25
black,0,5.25
blue,1,3.00
green,0,4.25
red,0,2.75
green,0,5.25
black,0,2.25
black,0,2.25
red,0,3.75
green,0,5.25
red,0,3.75
black,0,4.25
orange,1,3.50
green,0,3.25
orange,1,5.50
black,0,5.25
white,0,3.25
green,0,
black,0,4.25
green,0,4.25
black,0,3.25
purple,1,4.50
black,0,4.25
red,0,4.75
yellow,1,4.50
red,0,3.75
black,0,5.25
yellow,1,4.50
black,0,4.25
red,0,1.75
blue,1,2.00
red,0,1.75
orange,1,4.50
black,0,2.25
green,0,4.25
blue,1,4.00
black,0,3.25
yellow,1,3.50
blue,1,4.00
blue,1,4.00
white,0,4.25
red,0,4.75
green,0,
blue,1,5.00
purple,1,5.50
black,0,5.25
purple,1,2.50
green,0,3.25
blue,1,2.00
yellow,1,4.50
white,0,3.25
blue,1,2.00
yellow,1,2.50
purple,1,2.50
red,0,4.75
orange,1,3.50
red,0,2.75
blue,1,2.00
yellow,1,4.50
green,0,5.25
green,0,2.25
green,0,4.25
purple,1,2.50
black,0,2.25
blue,1,4.00
red,0,2.75
red,0,2.75
yellow,1,
green,0,4.25
red,0,1.75
orange,1,4.50
black,0,3.25
purple,1,4.50
orange,1,4.50
black,0,3.25
white,0,5.25
green,0,5.25
blue,1,5.00
red,0,2.75
green,0,5.25
purple,1,4.50
orange,1,3.50
green,0,5.25
orange,1,4.50
green,0,3.25
purple,1,5.50
green,0,4.25
red,0,1.75
purple,1,3.50
green,0,3.25
black,0,2.25
blue,1,3.00
white,0,
yellow,1,2.50
blue,1,3.00
black,0,4.25
orange,1,4.50
red,0,3.75
black,0,3.25
orange,1,5.50
orange,1,2.50
purple,1,5.50
red,0,1.75
black,0,5.25
black,0,2.25
green,0,3.25
orange,1,3.50
black,0,4.25
purple,1,5.50
white,0,5.25
blue,1,5.00
purple,1,5.50
purple,1,2.50
red,0,1.75
white,0,3.25
orange,1,4.50
white,0,4.25
green,0,
orange,1,2.50
purple,1,3.50
yellow,1,4.50
white,0,4.25
purple,1,4.50
purple,1,2.50
blue,1,3.00
red,0,4.75
green,0,5.25
white,0,5.25
orange,1,3.50
red,0,4.75
yellow,1,5.50
black,0,2.25
red,0,4.75
blue,1,2.00
white,0,3.25
blue,1,3.00
purple,1,3.50
purple,1,3.50
purple,1,2.50
orange,1,4.50
yellow,1,4.50
purple,1,4.50
green,0,
red,0,1.75
blue,1,5.00
orange,1,2.50
red,0,3.75
green,0,2.25
yellow,1,3.50
red,0,1.75
yellow,1,4.50
blue,1,4.00
orange,1,2.50
green,0,5.25
purple,1,3.50
yellow,1,3.50
yellow,1,2.50
red,0,4.75
purple,1,3.50
black,0,5.25
yellow,1,3.50
green,0,5.25
red,0,3.75
black,0,2.25
orange,1,2.50
white,0,5.25
red,0,4.75
green,0,
yellow,1,2.50
black,0,3.25
purple,1,4.50
green,0,2.25
orange,1,2.50
white,0,5.25
blue,1,3.00
green,0,5.25
orange,1,3.50
purple,1,2.50
black,0,3.25
blue,1,3.00
purple,1,2.50
blue,1,5.00
blue,1,5.00
blue,1,3.00
black,0,3.25
purple,1,3.50
yellow,1,2.50
white,0,4.25
orange,1,2.50
orange,1,5.50
green,0,5.25
orange,1,4.50
green,0,
yellow,1,2.50
orange,1,4.50
red,0,2.75
yellow,1,3.50
white,0,4.25
green,0,4.25
orange,1,3.50
yellow,1,3.50
blue,1,2.00
blue,1,4.00
white,0,3.25
blue,1,3.00
white,0,3.25
blue,1,5.00
orange,1,2.50
orange,1,5.50
white,0,5.25
black,0,3.25
red,0,4.75
white,0,3.25
red,0,4.75
white,0,4.25
red,0,3.75
orange,1,3.50
red,0,
black,0,3.25
black,0,2.25
white,0,3.25
red,0,1.75
green,0,2.25
white,0,3.25
green,0,4.25
white,0,5.25
yellow,1,4.50
black,0,4.25
white,0,5.25
red,0,2.75
red,0,4.75
yellow,1,3.50
black,0,5.25
green,0,4.25
yellow,1,5.50
green,0,5.25
white,0,5.25
black,0,4.25
purple,1,3.50
yellow,1,2.50
yellow,1,4.50
black,0,4.25
black,0,
yellow,1,2.50
green,0,2.25
black,0,2.25
white,0,2.25
yellow,1,2.50
white,0,3.25
white,0,5.25
black,0,2.25
red,0,1.75
black,0,5.25
white,0,3.25
black,0,3.25
blue,1,5.00
green,0,2.25
white,0,4.25
green,0,4.25
orange,1,2.50
white,0,4.25
red,0,1.75
red,0,3.75
red,0,3.75
black,0,2.25
white,0,5.25
orange,1,4.50
black,0,
orange,1,4.50
black,0,5.25
yellow,1,3.50
blue,1,4.00
black,0,3.25
green,0,3.25
yellow,1,3.50
green,0,4.25
yellow,1,4.50
black,0,2.25
yellow,1,3.50
black,0,4.25
yellow,1,2.50
blue,1,5.00
purple,1,4.50
