front,side,target
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
front.tiff#page=0,side.tiff#page=0,0
front.tiff#page=1,side.tiff#page=1,1
front.tiff#page=0,side.tiff#page=0,2
front.tiff#page=1,side.tiff#page=1,3
