front,side,class,brightness
front.tiff#page=0,side.tiff#page=0,0,0.000000
front.tiff#page=1,side.tiff#page=1,1,0.032258
front.tiff#page=0,side.tiff#page=0,2,0.064516
front.tiff#page=1,side.tiff#page=1,3,0.096774
front.tiff#page=0,side.tiff#page=0,0,0.129032
front.tiff#page=1,side.tiff#page=1,1,0.161290
front.tiff#page=0,side.tiff#page=0,2,0.193548
front.tiff#page=1,side.tiff#page=1,3,0.225806
front.tiff#page=0,side.tiff#page=0,0,0.258065
front.tiff#page=1,side.tiff#page=1,1,0.290323
front.tiff#page=0,side.tiff#page=0,2,0.322581
front.tiff#page=1,side.tiff#page=1,3,0.354839
front.tiff#page=0,side.tiff#page=0,0,0.387097
front.tiff#page=1,side.tiff#page=1,1,0.419355
front.tiff#page=0,side.tiff#page=0,2,0.451613
front.tiff#page=1,side.tiff#page=1,3,0.483871
front.tiff#page=0,side.tiff#page=0,0,NaN
front.tiff#page=1,side.tiff#page=1,1,0.548387
front.tiff#page=0,side.tiff#page=0,2,0.580645
front.tiff#page=1,side.tiff#page=1,3,0.612903
front.tiff#page=0,side.tiff#page=0,0,0.645161
front.tiff#page=1,side.tiff#page=1,1,0.677419
front.tiff#page=0,side.tiff#page=0,2,0.709677
front.tiff#page=1,side.tiff#page=1,3,0.741935
front.tiff#page=0,side.tiff#page=0,0,0.774194
front.tiff#page=1,side.tiff#page=1,1,0.806452
front.tiff#page=0,side.tiff#page=0,2,0.838710
front.tiff#page=1,side.tiff#page=1,3,0.870968
front.tiff#page=0,side.tiff#page=0,0,0.903226
front.tiff#page=1,side.tiff#page=1,1,0.935484
front.tiff#page=0,side.tiff#page=0,2,0.967742
front.tiff#page=1,side.tiff#page=1,3,1.000000
front.tiff#page=0,side.tiff#page=0,0,0.000000
front.tiff#page=1,side.tiff#page=1,1,NaN
front.tiff#page=0,side.tiff#page=0,2,0.064516
front.tiff#page=1,side.tiff#page=1,3,0.096774
front.tiff#page=0,side.tiff#page=0,0,0.129032
front.tiff#page=1,side.tiff#page=1,1,0.161290
front.tiff#page=0,side.tiff#page=0,2,0.193548
front.tiff#page=1,side.tiff#page=1,3,0.225806
front.tiff#page=0,side.tiff#page=0,0,0.258065
front.tiff#page=1,side.tiff#page=1,1,0.290323
front.tiff#page=0,side.tiff#page=0,2,0.322581
front.tiff#page=1,side.tiff#page=1,3,0.354839
front.tiff#page=0,side.tiff#page=0,0,0.387097
front.tiff#page=1,side.tiff#page=1,1,0.419355
front.tiff#page=0,side.tiff#page=0,2,0.451613
front.tiff#page=1,side.tiff#page=1,3,0.483871
