input,class,brightness
images.tiff#page=0,0,0.000000
images.tiff#page=1,1,0.032258
images.tiff#page=2,2,0.064516
images.tiff#page=3,3,0.096774
images.tiff#page=0,0,0.129032
images.tiff#page=1,1,0.161290
images.tiff#page=2,2,0.193548
images.tiff#page=3,3,0.225806
images.tiff#page=0,0,0.258065
images.tiff#page=1,1,0.290323
images.tiff#page=2,2,0.322581
images.tiff#page=3,3,0.354839
images.tiff#page=0,0,0.387097
images.tiff#page=1,1,0.419355
images.tiff#page=2,2,0.451613
images.tiff#page=3,3,0.483871
images.tiff#page=0,0,NaN
images.tiff#page=1,1,0.548387
images.tiff#page=2,2,0.580645
images.tiff#page=3,3,0.612903
images.tiff#page=0,0,0.645161
images.tiff#page=1,1,0.677419
images.tiff#page=2,2,0.709677
images.tiff#page=3,3,0.741935
images.tiff#page=0,0,0.774194
images.tiff#page=1,1,0.806452
images.tiff#page=2,2,0.838710
images.tiff#page=3,3,0.870968
images.tiff#page=0,0,0.903226
images.tiff#page=1,1,0.935484
images.tiff#page=2,2,0.967742
images.tiff#page=3,3,1.000000
images.tiff#page=0,0,0.000000
images.tiff#page=1,1,NaN
images.tiff#page=2,2,0.064516
images.tiff#page=3,3,0.096774
images.tiff#page=0,0,0.129032
images.tiff#page=1,1,0.161290
images.tiff#page=2,2,0.193548
images.tiff#page=3,3,0.225806
images.tiff#page=0,0,0.258065
images.tiff#page=1,1,0.290323
images.tiff#page=2,2,0.322581
images.tiff#page=3,3,0.354839
images.tiff#page=0,0,0.387097
images.tiff#page=1,1,0.419355
images.tiff#page=2,2,0.451613
images.tiff#page=3,3,0.483871
