input,class,brightness
11;5;8;4;10;0;10;6;11;4;9;10;1;6;2;8;2;1;6;2;1;8;7;4;222;238;207;231;201;205;233;212;0;4;9;9;9;1;9;8;10;6;2;3;11;4;0;9;3;7;2;3;5;2;3;2;11;5;9;10;4;10;7;10,0,32.375
2;9;3;6;215;3;5;4;3;10;3;3;214;11;5;8;3;1;1;8;213;10;11;6;5;4;1;2;230;8;4;9;10;2;6;2;235;4;1;1;11;10;10;2;214;9;2;8;3;8;10;6;201;5;11;4;0;3;6;9;215;5;8;3,1,31.938
204;6;1;8;7;5;10;11;5;238;0;9;5;7;4;1;9;6;213;10;2;1;4;8;1;4;1;222;6;0;4;6;0;11;4;9;213;9;11;8;8;6;3;4;9;216;7;1;10;11;8;4;9;9;213;5;0;10;3;10;4;1;2;220,2,32.125
2;4;9;5;11;7;8;229;8;3;8;4;2;10;212;2;8;10;10;4;3;205;1;3;1;9;9;7;237;4;10;9;0;8;6;237;10;0;2;10;7;10;216;6;1;4;10;0;5;236;1;10;2;4;1;4;202;3;3;3;4;7;11;8,3,32.578
8;10;8;1;1;0;7;8;2;7;1;11;0;5;10;11;8;10;2;1;8;4;4;10;202;212;223;235;222;220;231;216;8;5;10;2;0;2;1;7;0;8;2;8;11;11;0;10;0;6;10;0;4;11;3;0;10;9;5;5;6;8;3;9,0,32.375
9;8;0;7;202;9;5;10;2;7;7;0;231;0;2;3;7;2;3;0;216;5;7;2;1;4;11;8;205;8;2;0;7;0;0;8;222;1;3;1;3;9;0;2;209;6;4;3;6;6;11;8;235;5;3;9;0;10;7;0;236;9;4;9,1,
213;9;0;3;11;9;7;1;7;222;3;6;7;6;1;0;1;4;202;3;0;6;7;11;4;2;0;201;9;0;7;10;11;11;10;1;227;0;8;2;10;9;10;0;9;224;10;7;3;0;4;3;4;7;230;10;8;6;1;7;4;7;11;207,2,31.766
11;11;10;7;6;10;3;200;6;0;10;8;6;4;203;11;4;2;4;10;11;218;1;1;9;1;0;10;218;6;0;0;11;5;2;230;1;4;9;1;11;11;220;9;4;11;9;2;9;228;4;6;8;2;0;6;230;11;4;9;2;3;9;1,3,32.391
9;6;8;8;4;3;2;0;2;7;10;11;0;1;6;1;11;2;10;10;1;6;1;6;231;226;214;214;210;208;202;213;1;6;4;4;1;1;5;4;6;7;9;0;11;1;4;9;11;5;6;6;3;6;4;2;0;4;3;11;9;7;11;10,0,31.469
6;7;11;2;226;9;3;2;2;9;5;1;204;6;1;9;11;5;11;0;231;1;7;0;1;2;9;5;212;11;5;9;4;9;3;8;204;10;3;9;10;7;0;6;236;2;5;0;11;9;4;2;201;4;11;7;11;3;7;11;213;3;8;7,1,32.047
201;4;1;7;2;5;7;0;5;207;7;4;5;9;2;7;0;5;223;7;10;11;6;10;7;10;3;230;10;5;4;11;4;1;1;2;212;0;0;10;2;10;9;8;2;215;3;2;11;2;1;9;8;6;200;8;2;2;4;5;4;6;9;207,2,31.094
2;8;5;5;7;4;0;232;3;9;4;3;0;10;211;5;10;8;8;9;11;229;0;4;10;7;5;4;210;9;1;9;3;7;3;226;10;7;5;11;0;8;215;4;3;11;2;7;10;217;9;5;4;5;0;1;209;0;2;7;7;1;3;4,3,32.000
1;8;6;8;6;8;5;4;4;11;8;8;6;10;3;9;0;6;9;1;7;11;7;2;219;205;239;214;234;223;215;211;2;1;4;1;11;4;6;1;11;0;11;8;4;4;3;0;6;10;5;0;5;6;0;1;7;5;7;2;8;4;2;5,0,32.062
