pressure;flow;target
22.382240;24.313150;11.384211
36.018240;77.686390;22.175935
5.631480;50.065480;7.259140
6.043280;40.821490;6.499461
23.306360;57.422260;15.064770
30.381280;24.652270;14.617739
24.598320;66.596140;16.498942
12.392280;97.152310;14.672143
26.824600;77.133520;18.443192
2.832280;76.928050;8.825717
1.490240;32.456260;3.841722
1.927160;34.920640;4.262928
5.826080;38.896750;6.220107
5.339960;83.705590;10.506543
32.043040;43.685560;17.185772
6.031800;73.865170;9.799237
33.375240;64.026370;19.752733
4.448480;22.930300;4.072422
21.802520;67.564720;15.477480
14.062520;60.067360;11.631744
3.362200;63.481960;7.693076
1.126360;99.958150;10.446359
23.273800;34.988500;12.808370
13.663000;40.051270;9.470327
1.467080;68.508910;7.437723
37.089600;57.639880;20.599828
39.996840;95.910310;25.589767
4.242640;15.798520;3.276908
21.307360;88.061500;17.329094
35.201040;90.116830;23.092099
0.831360;26.977780;3.030322
18.370560;11.628370;8.511061
25.501440;33.629050;13.563481
19.474320;98.104150;17.600143
24.614640;92.618380;19.107694
36.763160;78.459490;22.551213
32.841760;29.365930;16.073297
4.858080;93.502360;11.293468
39.410160;73.103050;23.074369
20.012520;97.400080;17.745016
15.370120;75.229120;13.670960
2.627320;54.095500;6.460478
11.650760;29.583100;7.618614
34.236560;30.319300;16.726554
22.558040;22.902040;11.313420
0.523040;21.649690;2.374185
9.175920;32.356900;6.906058
6.371200;88.143040;11.362784
25.625480;46.961920;14.946384
6.571640;45.787780;7.207434
25.859120;73.380790;17.681727
23.541600;49.929400;14.409580
4.749920;33.882310;5.288199
22.965240;21.758590;11.361955
35.482920;52.353460;19.428514
27.693000;82.373320;19.314532
36.385280;71.932870;21.747399
34.552040;43.220260;18.142842
0.458320;25.593760;2.742704
38.310280;98.257060;25.149818
21.781600;49.539880;13.666628
23.850560;65.089540;16.049178
24.920560;33.937390;13.361963
39.555560;54.433000;21.265524
12.284320;60.870880;11.000816
4.480840;90.972550;10.889591
24.745000;34.855930;13.383593
13.368800;43.430050;9.690525
29.425200;37.655920;15.535672
7.760160;32.459410;6.350005
21.762800;20.501650;10.755285
8.160440;42.600250;7.524201
10.063840;98.565850;13.882121
35.527360;35.802640;17.791208
26.515600;45.471070;15.153347
24.632680;99.936280;19.846700
26.317520;36.929170;14.219925
6.265200;63.078760;8.813956
24.175360;55.790470;15.249191
24.934240;79.830910;17.956787
5.399920;40.772980;6.237266
37.975080;99.565570;25.146589
6.680200;21.182860;4.790366
25.137480;50.960800;15.151072
32.322920;25.785550;15.507723
4.076120;19.908640;3.621312
25.562440;63.659620;16.590938
10.633400;37.835290;8.036889
7.998800;95.546440;12.754164
38.357160;18.646390;17.207503
33.072440;63.352810;19.564257
38.049920;23.047840;17.524752
0.226040;26.046730;2.695089
38.396080;90.652960;24.423728
0.189600;87.052690;8.781109
28.737000;81.795790;19.674379
32.341160;32.713660;16.207830
30.523200;97.890220;21.998302
29.761440;91.873720;21.091948
17.700840;50.299570;12.110293
11.712600;97.032070;14.388247
36.171640;83.253250;22.793981
16.282160;14.194090;7.932273
12.210120;84.500020;13.334050
6.400080;77.856490;10.345681
21.555400;94.141450;18.036305
1.128600;70.673680;7.518808
15.601320;61.957180;12.436246
35.382960;45.525340;18.705718
15.567360;47.179180;10.944862
11.605200;39.089170;8.550997
16.798080;21.741580;8.893390
35.856240;55.608760;19.903372
17.977920;11.118250;8.302993
8.840480;63.017560;9.837948
18.174360;61.410520;13.410796
35.856600;71.349580;21.477598
27.292880;76.586680;18.575820
34.244520;72.242020;20.922010
31.261160;90.665020;21.570966
37.231840;70.292800;21.922016
36.905680;98.617330;24.624005
13.197920;48.471850;10.126353
31.350200;64.583020;18.998382
28.525520;47.534140;16.163622
11.210040;10.509670;5.534983
5.878160;16.639750;4.015239
29.004840;13.070980;12.909034
31.653320;64.006120;19.061940
34.233680;38.539900;17.547462
12.950360;91.781830;14.358327
35.423280;58.771090;20.046421
21.083880;60.355270;14.469079
9.299000;69.967900;10.716390
30.814640;82.721170;20.597973
19.167000;98.245630;17.491363
2.159400;71.663050;8.030065
25.515240;74.674990;17.673595
20.530360;30.207250;11.232869
12.208640;16.225840;6.506040
