pressure;flow;power;efficiency
28.741280;71.451100;18.641622;84.290220
35.951520;53.134030;19.694011;80.626806
32.425200;83.309410;21.301021;86.661882
31.092640;93.732490;21.810305;88.746498
37.511400;62.618590;21.266419;82.523718
7.427960;13.941910;4.365375;72.788382
35.393440;12.371410;15.394517;
23.542240;85.172860;17.934182;87.034572
14.939760;28.619920;8.837896;75.723984
18.513360;79.957270;15.401071;85.991454
20.772000;92.838790;17.592679;88.567758
25.016880;19.417780;11.948530;73.883556
34.509360;61.695910;19.973335;82.339182
8.955080;53.327350;8.914767;
13.467920;81.449650;13.532133;86.289930
18.973440;15.091750;9.098551;73.018350
23.714160;57.372220;15.222886;81.474444
15.373480;14.804830;7.629875;72.960966
14.485520;93.266290;15.120837;88.653258
10.505760;14.275630;5.629867;72.855126
38.403920;30.112480;18.372816;
32.906640;85.105270;21.673183;87.021054
11.447960;35.097940;8.088978;77.019588
13.713840;18.735130;7.359049;73.747026
15.861960;60.983290;12.443113;82.196658
12.445560;89.859520;13.964176;87.971904
12.635080;16.298560;6.683888;73.259712
2.899960;90.554770;10.215461;
35.595040;52.116850;19.449701;80.423370
15.811240;50.019760;11.326472;80.003952
30.225640;85.477150;20.637971;87.095430
25.874200;79.372990;18.286979;85.874598
28.184440;44.760880;15.749864;78.952176
20.168000;86.036770;16.670877;87.207354
31.808280;34.755670;16.198879;
2.735920;97.605190;10.854887;89.521038
11.087560;97.696540;14.204678;89.539308
32.611640;32.428810;16.287537;76.485762
3.157880;64.081450;7.671297;82.816290
7.688760;83.553490;11.430853;86.710698
15.521880;22.664440;8.475196;74.532888
18.947800;43.958980;11.975018;
21.141760;97.244110;18.181115;89.448822
27.965520;77.178250;18.904033;85.435650
30.377760;32.727160;15.423820;76.545432
35.734040;43.682590;18.661875;78.736518
4.567800;76.442590;9.471379;85.288518
21.369320;76.190320;16.166760;85.238064
10.605200;72.289720;11.471052;
24.031080;56.676160;15.280048;81.335232
6.375000;18.824680;4.432468;73.764936
11.372240;72.281170;11.777013;84.456234
20.921680;35.973190;11.965991;77.194638
28.356720;70.386220;18.381310;84.077244
2.338920;24.862420;3.421810;74.972484
35.951400;51.958270;19.576387;
8.561400;24.433930;5.867953;74.886786
29.006280;60.986710;17.701183;82.197342
37.851720;83.796490;23.520337;86.759298
38.476600;60.314320;21.422072;82.062864
31.365720;35.178220;16.064110;77.035644
6.917440;24.863680;5.253344;74.972736
9.564400;67.121650;10.537925;
18.919200;47.361430;12.303823;79.472286
22.890640;68.217940;15.978050;83.643588
8.523000;49.514860;8.360686;79.902972
32.163240;22.358260;15.101122;74.471652
28.591360;65.092690;17.945813;83.018538
22.514920;11.066410;10.112609;72.213282
30.346040;93.989800;21.537396;
13.975440;73.507960;12.940972;84.701592
32.940240;62.281720;19.404268;82.456344
20.137600;23.183920;10.373432;74.636784
8.780320;51.184540;8.630582;80.236908
12.537760;41.913280;9.206432;78.382656
38.465200;65.399050;21.925985;83.079810
34.196600;44.908570;18.169497;
15.569360;49.141360;11.141880;79.828272
11.208440;35.234560;8.006832;77.046912
6.627600;55.140490;8.165089;81.028098
37.638600;44.843140;19.539754;78.968628
36.589120;64.368460;21.072494;82.873692
27.724040;83.597140;19.449330;86.719428
32.768920;78.942700;21.001838;
8.791440;16.317820;5.148358;73.263564
15.450040;67.377880;12.917804;83.475576
17.886880;95.474890;16.702241;89.094978
17.179360;71.905420;14.062286;84.381084
36.979520;25.261930;17.318001;75.052386
3.203120;62.441020;7.525350;82.488204
25.924320;39.291850;14.298913;
26.766520;99.908920;20.697500;89.981784
6.944680;24.864310;5.264303;74.972862
11.972080;14.160250;6.204857;72.832050
4.694840;37.673020;5.645238;77.534604
31.933800;26.156440;15.389164;75.231288
22.644200;33.102280;12.367908;76.620456
38.123800;21.685510;17.418071;
37.808760;59.566600;21.080164;81.913320
13.309160;36.797140;9.003378;77.359428
24.697160;61.334920;16.012356;82.266984
31.361440;75.683260;20.112902;85.136652
14.864320;67.406320;12.686360;83.481264
0.918400;36.748270;4.042187;77.349654
17.451240;92.230840;16.203580;
9.118160;94.226410;13.069905;88.845282
23.081560;94.951720;18.727796;88.990344
18.563920;67.911130;14.216681;83.582226
4.877800;69.296140;8.880734;83.859228
9.816480;16.849720;5.611564;73.369944
10.764640;35.464780;7.852334;77.092956
17.694800;66.030580;13.680978;
33.792320;26.020000;16.118928;75.204000
26.341720;26.937550;13.230443;75.387510
13.920720;31.379050;8.706193;76.275810
4.917960;92.741680;11.241352;88.548336
1.199160;93.022210;9.781885;88.604442
8.338200;50.045140;8.339794;80.009028
15.979800;70.282090;13.420129;
24.546520;41.983210;14.016929;78.396642
24.933320;53.997850;15.373113;80.799570
14.808280;81.671410;14.090453;86.334282
13.747680;34.508980;8.949970;76.901796
39.022200;97.012720;25.310152;89.402544
19.547960;28.340560;10.653240;75.668112
28.988640;23.899690;13.985425;
29.947800;23.857840;14.364904;74.771568
37.270000;18.637930;16.771793;73.727586
39.326080;68.443660;22.574798;83.688732
28.903760;84.047050;19.966209;86.809410
8.819040;13.238470;4.851463;72.647694
38.824760;36.403840;19.170288;77.280768
2.020880;18.925750;2.700927;
14.379040;40.183840;9.770000;78.036768
21.233240;69.409630;15.434259;83.881926
29.470360;87.189850;20.507129;87.437970
14.374800;23.614480;8.111368;74.722896
36.857240;54.722440;20.215140;80.944488
25.806200;63.877690;16.710249;82.775538
10.514480;48.046330;9.010425;
