input;power;efficiency
23.977320;11.512921;88.576434
7.791600;19.632076;89.562744
7.843080;12.082819;83.455398
-23.801940;2.811592;73.838160
19.180620;15.946725;77.896746
-1.415520;15.461862;88.065900
-13.303320;13.541322;
11.446140;14.653161;84.731346
2.951040;9.596721;89.059266
-2.725140;7.260511;75.571038
20.587320;15.376838;78.895692
-24.088260;4.243191;76.459950
26.196420;18.799155;77.083110
-27.698280;11.791564;
3.811560;19.559779;79.506342
-17.071200;9.697554;80.490852
-0.618840;14.605954;76.280292
0.736260;10.254371;83.842182
4.906560;3.411724;73.966392
-19.954440;10.327926;81.146700
10.953840;15.071750;
11.693100;21.350889;84.079314
-17.682780;9.397910;77.083020
22.021560;9.060074;80.887284
20.332080;12.711064;73.706256
-13.168260;10.539476;88.246728
-6.831000;12.160003;79.095366
18.247920;9.444545;
16.651560;14.971925;82.682730
-18.123600;16.160786;74.910564
-27.462480;10.518038;76.533228
25.881360;24.514084;87.241608
22.952040;24.543174;88.594092
-13.701780;13.122007;81.583758
11.483460;9.758828;
1.818480;11.205325;83.547450
-4.496460;12.590698;80.052660
25.455600;14.147249;82.112994
28.732560;21.159608;82.751760
-13.809540;19.012252;80.277048
23.076000;10.102961;80.802882
27.019680;17.025558;
-11.389020;17.691198;77.848380
2.392200;12.159716;74.925864
-28.529880;17.576826;82.390356
-20.425860;21.805428;86.017608
-3.196320;25.278168;89.313840
6.064260;15.536926;87.916572
-18.999000;11.221244;
-29.768340;11.347919;80.787006
7.615320;12.886355;86.533542
-29.259960;7.787540;74.581704
-6.328620;11.628024;79.102512
-0.357720;18.133573;81.683658
18.032940;8.016073;84.062322
-23.365500;23.050470;
14.644620;18.065644;85.541400
-13.621800;5.941132;81.776088
-4.036500;15.715111;74.305134
12.592260;3.301808;74.682144
26.382600;19.359529;89.264466
-19.696320;14.292882;80.282340
3.663300;9.907760;
29.317440;3.468889;74.319858
-16.285020;6.287869;76.581594
13.813440;19.524891;87.203286
5.077560;23.056840;87.709680
16.312200;11.634372;80.526024
17.616660;21.902784;89.491104
20.029080;19.776590;
18.157620;16.459625;86.505714
6.622800;15.194593;86.356098
-10.962120;1.293218;72.482148
25.954920;13.358223;77.033214
-15.533820;23.787184;87.777216
-16.211160;11.464076;81.971928
-4.910520;14.678603;
-19.646340;9.093413;80.337546
7.668240;8.051287;75.994254
7.549380;18.169388;84.556728
8.785500;17.741040;84.760128
28.763820;12.351332;78.062760
-23.944860;3.726331;77.159574
-25.196880;21.823460;
-18.064140;20.524539;80.718678
7.483260;20.098051;87.970374
-13.672980;8.328895;73.258686
-12.711900;21.575805;82.036890
17.758560;15.678467;80.259174
14.043600;16.940934;83.710764
12.400620;16.927182;
28.695540;8.780296;86.033808
17.042340;7.137095;81.739566
23.221800;11.065284;84.259944
-27.686640;8.971933;82.599354
-25.119480;3.056208;73.545408
20.437140;18.547950;76.730940
7.665900;7.909402;
8.505060;13.097365;89.989866
13.343100;4.081389;75.253626
8.259180;20.700729;88.417170
18.243540;17.146964;72.495432
10.763280;23.020596;88.836264
17.658240;5.446081;73.500354
-10.728120;12.992918;
11.510220;16.607754;74.578356
18.920220;16.133772;85.363416
2.446500;13.410461;85.763610
23.695200;7.414470;75.630348
24.994320;14.225800;87.437520
27.312120;9.747296;77.220288
-17.765160;23.706844;
7.489740;3.354071;75.436686
9.711300;6.915668;83.048040
25.172460;14.783830;77.474988
-11.670480;25.589542;89.513388
-2.863800;4.690849;78.460290
-22.652760;4.750986;72.008244
-29.622240;17.407311;
-14.780640;10.512669;89.234874
14.578860;10.950996;78.077160
-22.535520;3.003906;74.799684
-8.914080;15.427807;76.656798
-1.448520;20.919787;85.979574
-12.736200;10.539919;73.411326
14.212140;21.097864;
-22.359660;12.800523;83.470230
24.967980;8.878496;72.879840
-17.893440;13.329545;73.393362
24.292080;12.782754;85.320900
-28.353660;14.567676;82.407672
-29.034360;6.512568;77.722704
29.377920;20.043779;
-1.720020;23.921605;87.292746
26.602080;15.436400;86.856480
13.947720;11.894506;77.812308
-1.201200;9.755604;87.736680
20.346120;14.390279;75.092526
-0.793680;15.839881;80.923122
-27.600780;21.460793;
