pressure,flow,target
22.382240,24.313150,11.384211
36.018240,77.686390,22.175935
5.631480,50.065480,7.259140
6.043280,40.821490,6.499461
23.306360,57.422260,15.064770
30.381280,24.652270,14.617739
24.598320,66.596140,16.498942
12.392280,97.152310,14.672143
26.824600,77.133520,18.443192
2.832280,76.928050,8.825717
1.490240,32.456260,3.841722
1.927160,34.920640,4.262928
5.826080,38.896750,6.220107
5.339960,83.705590,10.506543
32.043040,43.685560,17.185772
6.031800,73.865170,9.799237
33.375240,64.026370,19.752733
4.448480,22.930300,4.072422
21.802520,67.564720,15.477480
14.062520,60.067360,11.631744
3.362200,63.481960,7.693076
1.126360,99.958150,10.446359
23.273800,34.988500,12.808370
13.663000,40.051270,9.470327
1.467080,68.508910,7.437723
37.089600,57.639880,20.599828
39.996840,95.910310,25.589767
4.242640,15.798520,3.276908
21.307360,88.061500,17.329094
35.201040,90.116830,23.092099
0.831360,26.977780,3.030322
18.370560,11.628370,8.511061
25.501440,33.629050,13.563481
19.474320,98.104150,17.600143
24.614640,92.618380,19.107694
