pressure,flow,power,efficiency
2.735920,97.605190,10.854887,89.521038
11.087560,97.696540,14.204678,89.539308
32.611640,32.428810,16.287537,76.485762
3.157880,64.081450,7.671297,82.816290
7.688760,83.553490,11.430853,86.710698
15.521880,22.664440,8.475196,74.532888
18.947800,43.958980,11.975018,
21.141760,97.244110,18.181115,89.448822
27.965520,77.178250,18.904033,85.435650
30.377760,32.727160,15.423820,76.545432
35.734040,43.682590,18.661875,78.736518
4.567800,76.442590,9.471379,85.288518
21.369320,76.190320,16.166760,85.238064
10.605200,72.289720,11.471052,
24.031080,56.676160,15.280048,81.335232
6.375000,18.824680,4.432468,73.764936
11.372240,72.281170,11.777013,84.456234
20.921680,35.973190,11.965991,77.194638
28.356720,70.386220,18.381310,84.077244
2.338920,24.862420,3.421810,74.972484
35.951400,51.958270,19.576387,
8.561400,24.433930,5.867953,74.886786
29.006280,60.986710,17.701183,82.197342
37.851720,83.796490,23.520337,86.759298
38.476600,60.314320,21.422072,82.062864
31.365720,35.178220,16.064110,77.035644
6.917440,24.863680,5.253344,74.972736
9.564400,67.121650,10.537925,
18.919200,47.361430,12.303823,79.472286
22.890640,68.217940,15.978050,83.643588
8.523000,49.514860,8.360686,79.902972
32.163240,22.358260,15.101122,74.471652
28.591360,65.092690,17.945813,83.018538
22.514920,11.066410,10.112609,72.213282
30.346040,93.989800,21.537396,
