input,power,efficiency
1.818480,11.205325,83.547450
-4.496460,12.590698,80.052660
25.455600,14.147249,82.112994
28.732560,21.159608,82.751760
-13.809540,19.012252,80.277048
23.076000,10.102961,80.802882
27.019680,17.025558,
-11.389020,17.691198,77.848380
2.392200,12.159716,74.925864
-28.529880,17.576826,82.390356
-20.425860,21.805428,86.017608
-3.196320,25.278168,89.313840
6.064260,15.536926,87.916572
-18.999000,11.221244,
-29.768340,11.347919,80.787006
7.615320,12.886355,86.533542
-29.259960,7.787540,74.581704
-6.328620,11.628024,79.102512
-0.357720,18.133573,81.683658
18.032940,8.016073,84.062322
-23.365500,23.050470,
14.644620,18.065644,85.541400
-13.621800,5.941132,81.776088
-4.036500,15.715111,74.305134
12.592260,3.301808,74.682144
26.382600,19.359529,89.264466
-19.696320,14.292882,80.282340
3.663300,9.907760,
29.317440,3.468889,74.319858
-16.285020,6.287869,76.581594
13.813440,19.524891,87.203286
5.077560,23.056840,87.709680
16.312200,11.634372,80.526024
17.616660,21.902784,89.491104
20.029080,19.776590,
