pressure,flow,target
0.938649,69.942036,6.635327
1.484806,96.635523,14.354907
2.871012,41.758530,12.018820
1.045968,62.756167,6.646915
1.149630,60.028422,6.949325
2.904985,61.362623,17.910723
2.522980,16.872058,4.290795
2.140542,69.541968,14.908195
2.123841,12.224600,2.675871
1.897761,57.124563,10.871753
1.497230,64.315791,9.672692
2.717839,65.428424,17.839704
0.769575,20.100819,1.602188
2.677196,21.432629,5.803021
0.671574,98.738186,6.685660
2.053434,35.617523,7.318749
2.303422,64.777811,14.999082
2.273231,94.570931,21.524493
1.167419,92.607032,10.910267
2.235893,68.544800,15.400401
2.202782,42.932527,9.556948
0.516831,13.482184,0.728919
1.196397,44.768060,5.393577
0.534939,37.838048,2.071669
2.145479,95.499023,20.548840
0.775454,55.008672,4.340348
1.781215,89.418148,15.978936
0.861368,13.775725,1.258641
1.150809,93.318410,10.832272
0.625824,70.213786,4.483834
1.631633,27.310858,4.469545
0.564252,89.631636,5.132487
1.250564,34.032293,4.327181
1.276721,41.306503,5.361078
1.907816,60.043787,11.502054
2.020985,40.394275,8.164415
2.298604,12.220890,2.887173
1.929194,47.722037,9.292084
2.249885,13.167338,3.023722
2.228359,58.422923,13.066909
1.428522,28.258556,4.128581
2.122692,98.646540,21.008235
0.805510,27.521483,2.271215
0.600811,19.032241,1.218459
1.656859,21.648081,3.619896
2.499094,95.066008,23.758952
1.667091,55.682437,9.313985
0.785981,32.534666,2.604625
2.237595,79.531835,17.859334
0.531939,67.641645,3.629221
1.611768,57.597674,9.292984
0.686704,29.213307,2.049475
2.592816,85.283894,22.210439
0.807318,21.080964,1.756820
1.783653,73.148196,13.135259
1.436631,44.280430,6.417844
0.668478,55.104419,3.699559
1.262395,58.963238,7.523700
1.617163,77.587067,12.628112
2.117927,60.711421,12.860046
2.010686,67.538555,13.622088
1.099923,30.755671,3.393590
2.068226,99.235211,20.619921
1.856600,42.928696,7.986044
0.815073,97.417929,8.029965
0.626249,38.627454,2.419755
0.992698,36.149726,3.636308
1.598746,77.245448,12.375512
1.297584,87.768856,11.432533
1.762250,10.974035,2.004788
1.131624,55.232544,6.311621
1.901730,32.721022,6.263436
2.407332,44.992856,10.910080
2.596969,57.357474,14.933055
0.845601,15.514562,1.399883
1.276975,28.690811,3.717620
2.648043,70.485973,18.686230
1.487727,30.107384,4.498736
2.174298,74.759242,16.306141
2.211616,46.764205,10.420120
2.380311,58.501028,14.012226
2.353050,61.717639,14.621632
2.966280,17.969282,5.396738
1.520933,30.865566,4.737266
2.087793,43.110618,9.052790
0.822572,33.726049,2.795430
1.751293,83.863913,14.729181
1.614666,97.180745,15.717378
0.951982,58.565032,5.581197
1.735410,39.003745,6.785270
1.430007,31.693222,4.608056
0.785957,76.936148,6.097745
2.882670,54.226759,15.700891
0.936184,83.585535,7.896146
2.627153,93.210937,24.546255
1.919131,38.354186,7.431083
1.642284,59.700369,9.893113
1.571075,90.697465,14.300495
2.504908,28.847120,7.231394
