pressure,flow,power,efficiency
0.938649,69.942036,6.635327,83.036998
1.484806,96.635523,14.354907,94.212086
2.871012,41.758530,12.018820,76.951806
1.045968,62.756167,6.646915,
1.149630,60.028422,6.949325,87.141236
2.904985,61.362623,17.910723,76.492813
2.522980,16.872058,4.290795,84.369720
2.140542,69.541968,14.908195,91.830682
2.123841,12.224600,2.675871,91.881768
1.897761,57.124563,10.871753,96.517022
1.497230,64.315791,9.672692,94.071179
2.717839,65.428424,17.839704,79.754160
0.769575,20.100819,1.602188,80.011651
2.677196,21.432629,5.803021,81.000913
0.671574,98.738186,6.685660,77.552764
2.053434,35.617523,7.318749,92.997265
2.303422,64.777811,14.999082,87.953518
2.273231,94.570931,21.524493,89.022869
1.167419,92.607032,10.910267,87.492325
2.235893,68.544800,15.400401,90.204956
2.202782,42.932527,9.556948,90.739048
0.516831,13.482184,0.728919,74.654605
1.196397,44.768060,5.393577,88.260634
0.534939,37.838048,2.071669,
2.145479,95.499023,20.548840,91.371509
0.775454,55.008672,4.340348,79.823796
1.781215,89.418148,15.978936,98.691318
0.861368,13.775725,1.258641,81.718692
1.150809,93.318410,10.832272,87.486469
0.625824,70.213786,4.483834,77.204125
1.631633,27.310858,4.469545,97.528611
0.564252,89.631636,5.132487,76.135250
1.250564,34.032293,4.327181,89.910534
1.276721,41.306503,5.361078,89.729113
1.907816,60.043787,11.502054,96.131509
2.020985,40.394275,8.164415,94.233685
2.298604,12.220890,2.887173,88.243242
1.929194,47.722037,9.292084,95.753578
2.249885,13.167338,3.023722,89.210257
2.228359,58.422923,13.066909,89.713170
1.428522,28.258556,4.128581,93.439790
2.122692,98.646540,21.008235,91.776606
0.805510,27.521483,2.271215,80.847103
0.600811,19.032241,1.218459,
1.656859,21.648081,3.619896,97.474025
2.499094,95.066008,23.758952,84.780398
1.667091,55.682437,9.313985,97.734873
0.785981,32.534666,2.604625,79.859208
2.237595,79.531835,17.859334,89.835827
0.531939,67.641645,3.629221,75.479484
1.611768,57.597674,9.292984,97.184323
0.686704,29.213307,2.049475,78.727833
2.592816,85.283894,22.210439,82.330580
0.807318,21.080964,1.756820,80.363635
1.783653,73.148196,13.135259,98.658734
1.436631,44.280430,6.417844,92.923513
0.668478,55.104419,3.699559,78.347323
1.262395,58.963238,7.523700,90.086104
1.617163,77.587067,12.628112,97.321937
2.117927,60.711421,12.860046,92.106091
2.010686,67.538555,13.622088,93.814516
1.099923,30.755671,3.393590,86.451112
2.068226,99.235211,20.619921,93.108884
1.856600,42.928696,7.986044,
0.815073,97.417929,8.029965,81.249451
0.626249,38.627454,2.419755,77.212779
0.992698,36.149726,3.636308,83.862031
1.598746,77.245448,12.375512,96.710093
1.297584,87.768856,11.432533,90.262009
1.762250,10.974035,2.004788,99.352640
1.131624,55.232544,6.311621,87.598614
1.901730,32.721022,6.263436,96.232511
2.407332,44.992856,10.910080,86.405868
2.596969,57.357474,14.933055,82.138773
0.845601,15.514562,1.399883,81.554902
1.276975,28.690811,3.717620,90.530414
2.648043,70.485973,18.686230,81.469639
1.487727,30.107384,4.498736,94.159507
2.174298,74.759242,16.306141,91.500455
2.211616,46.764205,10.420120,89.927133
2.380311,58.501028,14.012226,86.515224
2.353050,61.717639,14.621632,87.785689
2.966280,17.969282,5.396738,75.456114
1.520933,30.865566,4.737266,
2.087793,43.110618,9.052790,92.283093
0.822572,33.726049,2.795430,80.490385
1.751293,83.863913,14.729181,99.870846
1.614666,97.180745,15.717378,96.422276
0.951982,58.565032,5.581197,83.206590
1.735410,39.003745,6.785270,98.987720
1.430007,31.693222,4.608056,93.008786
0.785957,76.936148,6.097745,80.305754
2.882670,54.226759,15.700891,76.429258
0.936184,83.585535,7.896146,83.641051
2.627153,93.210937,24.546255,81.561745
1.919131,38.354186,7.431083,96.241721
1.642284,59.700369,9.893113,97.761800
1.571075,90.697465,14.300495,95.572945
2.504908,28.847120,7.231394,84.516620
1.108630,85.175099,9.506420,87.107403
2.075631,91.248337,19.014193,93.410628
2.707384,43.204209,11.793893,80.508649
0.818069,84.038393,6.940447,80.810328
1.719430,77.857378,13.471677,
2.008715,54.054206,10.868051,94.716487
0.767152,52.226587,4.016995,79.791836
1.805263,53.714002,9.732994,97.906435
0.936195,85.243899,8.042604,82.771383
1.023335,98.473133,10.153823,84.516724
0.828559,52.149129,4.372497,80.761840
2.372384,13.861868,3.380216,87.099875
1.273214,87.844866,11.254682,90.254698
2.263716,11.458526,2.677185,89.402584
2.310589,73.975212,17.125558,88.323881
1.011976,15.319884,1.634212,84.968435
2.274285,13.669671,3.145916,89.181369
0.735602,16.437887,1.209362,79.324465
1.963705,23.171063,4.626128,95.375631
0.831324,41.917426,3.514923,81.252034
1.810946,10.480878,1.957287,98.658894
2.115647,32.027003,6.867029,91.832518
1.899106,31.231910,6.000471,96.780326
2.635096,20.721334,5.475421,81.415062
2.065356,37.064747,7.754977,
1.899096,21.007432,4.055072,96.866572
1.571053,28.420572,4.490187,95.485029
1.942687,99.748927,19.439798,95.261372
1.338497,12.810902,1.797213,91.028984
2.836202,18.423682,5.304150,77.509208
0.580197,16.967369,1.078424,75.692908
0.715778,65.461821,4.735164,78.975672
2.967533,57.042053,16.936511,74.906845
2.651857,15.998079,4.305882,81.478709
1.479923,88.261866,13.068357,94.386602
1.940165,95.953876,18.711725,95.837964
0.899514,22.392136,2.075852,82.619578
1.991511,47.631763,9.488688,94.545007
1.918659,20.091278,3.887408,96.507632
2.375679,16.472668,3.920781,87.157027
2.004491,82.436938,16.555275,94.489633
1.305263,94.849092,12.438781,90.902191
2.229434,99.125137,22.191853,89.990662
2.804807,36.760316,10.341789,78.737943
0.535332,15.857013,0.940132,
2.244695,33.597251,7.620917,89.872520
1.857111,22.954070,4.294539,97.501301
1.804147,27.705878,5.074520,98.280593
1.822685,67.459625,12.376963,98.236538
0.505894,74.297157,3.846376,74.493260
0.916543,83.194999,7.665729,82.731184
2.104104,84.621265,17.856066,91.946678
1.104266,75.413128,8.389176,86.333092
1.013714,31.146736,3.191846,84.608036
1.267059,50.374967,6.482502,89.792694
2.171572,52.095709,11.410005,90.638415
2.062934,11.027166,2.303367,92.811272
2.154979,54.098595,11.671439,90.987283
2.319693,34.696037,8.075281,88.375672
0.746086,81.049425,6.138450,79.411303
0.657725,99.519807,6.611378,77.880173
2.909006,18.455968,5.381346,75.978334
1.430166,38.206325,5.502362,93.094402
1.520150,82.802922,12.595348,94.472952
2.952996,57.949764,17.148412,
1.770350,80.700173,14.319309,99.284593
2.370342,93.691140,22.238403,86.980299
0.625331,93.906695,5.899392,76.993662
0.635422,97.763897,6.311168,77.563187
1.761781,27.350555,4.902456,99.424629
0.693650,61.500082,4.269002,78.586447
2.461393,61.943914,15.261351,85.142050
1.177592,95.779234,11.350850,88.479376
1.305627,97.352006,12.790357,91.033542
0.923736,70.681309,6.597911,82.641214
2.176953,79.416484,17.346000,90.608353
0.652001,11.404371,0.762164,77.500623
2.672514,62.181980,16.657475,80.739291
1.147745,58.672683,6.739066,87.788118
2.599169,59.491452,15.530129,82.744822
2.765359,70.370161,19.494396,79.101900
2.069227,87.963958,18.240956,92.959737
1.772234,81.387821,14.492430,98.675016
0.532885,94.967107,5.072444,75.635108
2.306056,84.548891,19.549214,
0.984270,65.483181,6.502006,83.990915
1.800867,29.982066,5.493430,98.100129
1.835806,22.006455,4.068860,98.022512
1.306874,37.238154,4.902070,90.379239
1.820518,45.674262,8.396142,97.732265
2.470196,30.914575,7.667135,84.701545
2.589509,42.492315,11.020202,82.378311
1.779438,73.391278,13.066039,99.129483
1.062308,70.978113,7.554011,85.692489
1.241120,60.341355,7.579336,89.816264
0.631239,44.886912,2.840654,77.473210
1.382546,79.365187,10.987017,92.294042
1.551692,20.090882,3.139570,95.239896
2.776638,44.572015,12.467510,79.215486
2.772491,12.412342,3.481062,79.023210
2.155331,50.128060,10.857272,91.476494
1.038428,18.233627,1.936692,85.144408
1.571906,39.632945,6.248036,95.457920
1.778046,35.185765,6.261206,98.897830
2.085693,96.780988,20.201559,
0.520011,99.425316,5.258891,75.116617
1.032450,15.103242,1.637674,85.022196
2.997476,18.655771,5.598684,74.980571
0.667431,25.942223,1.751697,77.808864
1.590873,82.414688,13.178356,96.418226
1.786595,86.845745,15.519045,98.712022
1.062508,26.165857,2.844966,85.504414
1.444501,93.245434,13.528394,92.935276
1.850939,77.341599,14.388172,97.412231
0.895146,72.595759,6.587172,82.242186
0.667072,99.223241,6.695641,77.815873
0.743211,78.038168,5.892283,79.800477
0.882485,14.187543,1.314270,81.852514
1.486514,27.618784,4.177182,94.180243
2.560189,66.570201,17.124516,83.743016
0.778344,88.276842,6.924444,79.959223
2.767537,11.156861,3.168436,78.735982
