input,power,efficiency
-16.996594,164.442105,83.003406
-5.493065,35.086882,94.506935
7.115907,45.318069,92.884093
27.481690,397.621644,72.518310
-0.477620,20.114060,99.522380
9.958642,69.587280,90.041358
20.367085,227.409083,79.632915
-12.233349,94.827414,
19.162475,203.600225,80.837525
12.496629,98.082871,87.503371
18.288496,187.234547,81.711504
26.161847,362.221114,73.838153
-0.151570,20.011487,99.848430
12.587289,99.219917,87.412711
-1.881180,21.769419,98.118820
16.788800,160.931910,83.211200
-15.826323,145.236244,84.173677
-28.652647,430.487080,71.347353
-8.112001,52.902282,91.887999
-9.750051,67.531748,90.249949
7.019406,44.636029,92.980594
20.774842,235.797020,79.225158
14.168169,120.368501,85.831831
12.957476,103.948086,87.042524
17.971561,181.488494,82.028439
-9.819190,68.208248,90.180810
-25.964605,357.080354,74.035395
-15.393118,138.474041,
10.298276,73.027241,89.701724
-22.952155,283.400709,77.047845
-1.060022,20.561824,98.939978
-4.547537,30.340047,95.452463
-0.241550,20.029173,99.758450
5.920862,37.528306,94.079138
28.107920,415.027576,71.892080
-10.252986,72.561863,89.747014
-29.054992,442.096291,70.945008
-15.969733,147.516184,84.030267
0.519408,20.134892,99.480592
-22.338969,269.514778,77.661031
-2.688714,23.614591,97.311286
5.186750,33.451186,94.813250
-11.784202,89.433710,88.215798
-28.025596,412.717002,71.974404
-5.482327,35.027954,94.517673
10.637131,76.574280,89.362869
19.742343,214.880062,80.257657
2.084467,22.172502,
7.919302,51.357669,92.080698
16.639445,158.435572,83.360555
28.181636,417.102300,71.818364
20.227249,224.570806,79.772751
-25.507210,345.308878,74.492790
29.201045,446.350521,70.798955
2.648047,23.506077,97.351953
10.676766,76.996665,89.323234
18.963510,199.807350,81.036490
-6.396693,40.458841,93.603307
-26.454263,369.914015,73.545737
0.427617,20.091428,99.572383
1.705289,21.454005,98.294711
18.379181,188.897153,81.620819
13.634959,112.956055,86.365041
-11.846950,90.175110,88.153050
-20.788510,236.081076,79.211490
3.581995,26.415344,96.418005
-25.473415,344.447446,74.526585
-21.723901,255.963939,
28.349413,421.844621,71.650587
-6.290256,39.783663,93.709744
-18.886721,198.354109,81.113279
-14.354527,123.026229,85.645473
25.535541,346.031934,74.464459
-15.330736,137.515736,84.669264
-6.384937,40.383712,93.615063
20.250506,225.041497,79.749494
9.370770,63.905668,90.629230
7.527807,48.333942,92.472193
-19.647179,213.005829,80.352821
-20.162312,223.259415,79.837688
-4.151606,28.617914,95.848394
-3.692133,26.815922,96.307867
-19.260142,205.476534,80.739858
23.690675,300.624032,76.309325
-7.237598,46.191413,92.762402
-28.501751,426.174910,71.498249
29.543621,456.412785,70.456379
14.614397,126.790303,
14.497274,125.085474,85.502726
-14.228112,121.219588,85.771888
5.139784,33.208692,94.860216
8.113103,52.911216,91.886897
5.673018,36.091569,94.326982
-14.953196,131.799032,85.046804
-4.860462,31.812043,95.139538
25.486248,344.774426,74.513752
5.289820,33.991096,94.710180
-7.112745,45.295568,92.887255
