pressure,flow,target
22.382240,24.313150,11.384211
36.018240,77.686390,22.175935
5.631480,50.065480,7.259140
6.043280,40.821490,6.499461
23.306360,57.422260,15.064770
30.381280,24.652270,14.617739
24.598320,66.596140,16.498942
12.392280,97.152310,14.672143
26.824600,77.133520,18.443192
2.832280,76.928050,8.825717
1.490240,32.456260,3.841722
1.927160,34.920640,4.262928
5.826080,38.896750,6.220107
5.339960,83.705590,10.506543
32.043040,43.685560,17.185772
6.031800,73.865170,9.799237
33.375240,64.026370,19.752733
4.448480,22.930300,4.072422
21.802520,67.564720,15.477480
14.062520,60.067360,11.631744
3.362200,63.481960,7.693076
1.126360,99.958150,10.446359
23.273800,34.988500,12.808370
13.663000,40.051270,9.470327
1.467080,68.508910,7.437723
37.089600,57.639880,20.599828
39.996840,95.910310,25.589767
4.242640,15.798520,3.276908
21.307360,88.061500,17.329094
35.201040,90.116830,23.092099
0.831360,26.977780,3.030322
18.370560,11.628370,8.511061
25.501440,33.629050,13.563481
19.474320,98.104150,17.600143
24.614640,92.618380,19.107694
36.763160,78.459490,22.551213
32.841760,29.365930,16.073297
4.858080,93.502360,11.293468
39.410160,73.103050,23.074369
20.012520,97.400080,17.745016
15.370120,75.229120,13.670960
2.627320,54.095500,6.460478
11.650760,29.583100,7.618614
34.236560,30.319300,16.726554
22.558040,22.902040,11.313420
0.523040,21.649690,2.374185
9.175920,32.356900,6.906058
6.371200,88.143040,11.362784
25.625480,46.961920,14.946384
6.571640,45.787780,7.207434
25.859120,73.380790,17.681727
23.541600,49.929400,14.409580
4.749920,33.882310,5.288199
22.965240,21.758590,11.361955
35.482920,52.353460,19.428514
27.693000,82.373320,19.314532
36.385280,71.932870,21.747399
34.552040,43.220260,18.142842
0.458320,25.593760,2.742704
38.310280,98.257060,25.149818
21.781600,49.539880,13.666628
23.850560,65.089540,16.049178
24.920560,33.937390,13.361963
39.555560,54.433000,21.265524
12.284320,60.870880,11.000816
4.480840,90.972550,10.889591
24.745000,34.855930,13.383593
13.368800,43.430050,9.690525
29.425200,37.655920,15.535672
7.760160,32.459410,6.350005
21.762800,20.501650,10.755285
8.160440,42.600250,7.524201
10.063840,98.565850,13.882121
35.527360,35.802640,17.791208
26.515600,45.471070,15.153347
24.632680,99.936280,19.846700
26.317520,36.929170,14.219925
6.265200,63.078760,8.813956
24.175360,55.790470,15.249191
24.934240,79.830910,17.956787
5.399920,40.772980,6.237266
37.975080,99.565570,25.146589
6.680200,21.182860,4.790366
25.137480,50.960800,15.151072
