pressure,flow,power,efficiency
28.741280,71.451100,18.641622,84.290220
35.951520,53.134030,19.694011,80.626806
32.425200,83.309410,21.301021,86.661882
31.092640,93.732490,21.810305,88.746498
37.511400,62.618590,21.266419,82.523718
7.427960,13.941910,4.365375,72.788382
35.393440,12.371410,15.394517,
23.542240,85.172860,17.934182,87.034572
14.939760,28.619920,8.837896,75.723984
18.513360,79.957270,15.401071,85.991454
20.772000,92.838790,17.592679,88.567758
25.016880,19.417780,11.948530,73.883556
34.509360,61.695910,19.973335,82.339182
8.955080,53.327350,8.914767,
13.467920,81.449650,13.532133,86.289930
18.973440,15.091750,9.098551,73.018350
23.714160,57.372220,15.222886,81.474444
15.373480,14.804830,7.629875,72.960966
14.485520,93.266290,15.120837,88.653258
10.505760,14.275630,5.629867,72.855126
38.403920,30.112480,18.372816,
32.906640,85.105270,21.673183,87.021054
11.447960,35.097940,8.088978,77.019588
13.713840,18.735130,7.359049,73.747026
15.861960,60.983290,12.443113,82.196658
12.445560,89.859520,13.964176,87.971904
12.635080,16.298560,6.683888,73.259712
2.899960,90.554770,10.215461,
35.595040,52.116850,19.449701,80.423370
15.811240,50.019760,11.326472,80.003952
30.225640,85.477150,20.637971,87.095430
25.874200,79.372990,18.286979,85.874598
28.184440,44.760880,15.749864,78.952176
20.168000,86.036770,16.670877,87.207354
31.808280,34.755670,16.198879,
2.735920,97.605190,10.854887,89.521038
11.087560,97.696540,14.204678,89.539308
32.611640,32.428810,16.287537,76.485762
3.157880,64.081450,7.671297,82.816290
7.688760,83.553490,11.430853,86.710698
15.521880,22.664440,8.475196,74.532888
18.947800,43.958980,11.975018,
21.141760,97.244110,18.181115,89.448822
27.965520,77.178250,18.904033,85.435650
30.377760,32.727160,15.423820,76.545432
35.734040,43.682590,18.661875,78.736518
4.567800,76.442590,9.471379,85.288518
21.369320,76.190320,16.166760,85.238064
10.605200,72.289720,11.471052,
24.031080,56.676160,15.280048,81.335232
6.375000,18.824680,4.432468,73.764936
11.372240,72.281170,11.777013,84.456234
20.921680,35.973190,11.965991,77.194638
28.356720,70.386220,18.381310,84.077244
2.338920,24.862420,3.421810,74.972484
35.951400,51.958270,19.576387,
8.561400,24.433930,5.867953,74.886786
29.006280,60.986710,17.701183,82.197342
37.851720,83.796490,23.520337,86.759298
38.476600,60.314320,21.422072,82.062864
31.365720,35.178220,16.064110,77.035644
6.917440,24.863680,5.253344,74.972736
9.564400,67.121650,10.537925,
18.919200,47.361430,12.303823,79.472286
22.890640,68.217940,15.978050,83.643588
8.523000,49.514860,8.360686,79.902972
32.163240,22.358260,15.101122,74.471652
28.591360,65.092690,17.945813,83.018538
22.514920,11.066410,10.112609,72.213282
30.346040,93.989800,21.537396,
13.975440,73.507960,12.940972,84.701592
32.940240,62.281720,19.404268,82.456344
20.137600,23.183920,10.373432,74.636784
8.780320,51.184540,8.630582,80.236908
12.537760,41.913280,9.206432,78.382656
38.465200,65.399050,21.925985,83.079810
34.196600,44.908570,18.169497,
15.569360,49.141360,11.141880,79.828272
11.208440,35.234560,8.006832,77.046912
6.627600,55.140490,8.165089,81.028098
37.638600,44.843140,19.539754,78.968628
36.589120,64.368460,21.072494,82.873692
27.724040,83.597140,19.449330,86.719428
32.768920,78.942700,21.001838,
