severity,urgency,target
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
04_high,03_urgent,4
04_high,02_soon,4
04_high,01_routine,4
