severity,urgency,score,rank
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
03_medium,02_soon,3,NaN
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,NaN
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,NaN
03_medium,03_urgent,3,9
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,3
03_medium,02_soon,3,NaN
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,NaN
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,NaN
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
03_medium,02_soon,3,5
03_medium,01_routine,3,1
03_medium,03_urgent,3,6
03_medium,02_soon,3,2
03_medium,01_routine,3,7
03_medium,03_urgent,3,3
03_medium,02_soon,3,8
03_medium,01_routine,3,4
03_medium,03_urgent,3,9
