input,score,rank
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,NaN
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,NaN
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,NaN
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,NaN
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,NaN
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,NaN
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,NaN
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,NaN
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,NaN
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,NaN
02_low,2,3
02_low,2,8
02_low,2,4
02_low,2,9
02_low,2,5
02_low,2,1
02_low,2,6
02_low,2,2
02_low,2,7
02_low,2,3
02_low,2,8
