severity,urgency,target
01_very_low,03_urgent,1
02_low,01_routine,2
03_medium,02_soon,3
04_high,03_urgent,4
05_very_high,01_routine,5
01_very_low,02_soon,1
02_low,03_urgent,2
03_medium,01_routine,3
04_high,02_soon,4
05_very_high,03_urgent,5
01_very_low,01_routine,1
02_low,02_soon,2
03_medium,03_urgent,3
04_high,01_routine,4
05_very_high,02_soon,5
01_very_low,03_urgent,1
02_low,01_routine,2
03_medium,02_soon,3
04_high,03_urgent,4
05_very_high,01_routine,5
01_very_low,02_soon,1
02_low,03_urgent,2
03_medium,01_routine,3
04_high,02_soon,4
05_very_high,03_urgent,5
01_very_low,01_routine,1
02_low,02_soon,2
03_medium,03_urgent,3
04_high,01_routine,4
05_very_high,02_soon,5
01_very_low,03_urgent,1
02_low,01_routine,2
03_medium,02_soon,3
04_high,03_urgent,4
05_very_high,01_routine,5
