severity,urgency,score,rank
01_very_low,01_routine,1,1
02_low,02_soon,2,2
03_medium,03_urgent,3,3
04_high,01_routine,4,1
05_very_high,02_soon,5,2
01_very_low,03_urgent,1,3
02_low,01_routine,2,
03_medium,02_soon,3,2
04_high,03_urgent,4,3
05_very_high,01_routine,5,1
01_very_low,02_soon,1,2
02_low,03_urgent,2,3
03_medium,01_routine,3,1
04_high,02_soon,4,
05_very_high,03_urgent,5,3
01_very_low,01_routine,1,1
02_low,02_soon,2,2
03_medium,03_urgent,3,3
04_high,01_routine,4,1
05_very_high,02_soon,5,2
01_very_low,03_urgent,1,
02_low,01_routine,2,1
03_medium,02_soon,3,2
04_high,03_urgent,4,3
05_very_high,01_routine,5,1
01_very_low,02_soon,1,2
02_low,03_urgent,2,3
03_medium,01_routine,3,
04_high,02_soon,4,2
05_very_high,03_urgent,5,3
01_very_low,01_routine,1,1
02_low,02_soon,2,2
03_medium,03_urgent,3,3
04_high,01_routine,4,1
05_very_high,02_soon,5,
