severity,urgency,target
05_very_high,01_very_low,3
05_very_high,01_very_low,3
02_low,01_very_low,1
03_medium,04_high,3
01_very_low,01_very_low,1
02_low,03_medium,2
01_very_low,04_high,2
03_medium,01_very_low,2
01_very_low,04_high,2
05_very_high,01_very_low,3
03_medium,03_medium,3
03_medium,01_very_low,2
05_very_high,01_very_low,3
01_very_low,05_very_high,3
02_low,04_high,3
03_medium,05_very_high,4
04_high,02_low,3
02_low,03_medium,2
03_medium,02_low,2
02_low,01_very_low,1
03_medium,05_very_high,4
03_medium,05_very_high,4
03_medium,04_high,3
04_high,02_low,3
02_low,03_medium,2
04_high,02_low,3
02_low,02_low,2
04_high,03_medium,3
01_very_low,04_high,2
03_medium,03_medium,3
01_very_low,04_high,2
02_low,01_very_low,1
05_very_high,05_very_high,5
03_medium,05_very_high,4
01_very_low,03_medium,2
03_medium,02_low,2
04_high,03_medium,3
04_high,04_high,4
01_very_low,03_medium,2
03_medium,01_very_low,2
01_very_low,02_low,1
04_high,02_low,3
03_medium,03_medium,3
04_high,01_very_low,2
05_very_high,04_high,4
05_very_high,04_high,4
05_very_high,04_high,4
05_very_high,03_medium,4
01_very_low,05_very_high,3
04_high,03_medium,3
01_very_low,04_high,2
05_very_high,02_low,3
05_very_high,05_very_high,5
05_very_high,03_medium,4
03_medium,04_high,3
03_medium,02_low,2
01_very_low,03_medium,2
05_very_high,05_very_high,5
03_medium,04_high,3
01_very_low,05_very_high,3
04_high,02_low,3
03_medium,05_very_high,4
02_low,01_very_low,1
01_very_low,04_high,2
04_high,03_medium,3
03_medium,01_very_low,2
03_medium,04_high,3
05_very_high,04_high,4
01_very_low,05_very_high,3
01_very_low,01_very_low,1
04_high,01_very_low,2
05_very_high,04_high,4
01_very_low,01_very_low,1
05_very_high,02_low,3
02_low,04_high,3
04_high,02_low,3
01_very_low,02_low,1
03_medium,04_high,3
03_medium,04_high,3
02_low,04_high,3
02_low,05_very_high,3
05_very_high,03_medium,4
02_low,01_very_low,1
03_medium,02_low,2
01_very_low,01_very_low,1
03_medium,01_very_low,2
01_very_low,01_very_low,1
01_very_low,04_high,2
05_very_high,01_very_low,3
01_very_low,05_very_high,3
01_very_low,04_high,2
04_high,03_medium,3
02_low,04_high,3
05_very_high,04_high,4
05_very_high,02_low,3
02_low,03_medium,2
02_low,05_very_high,3
04_high,04_high,4
04_high,01_very_low,2
02_low,03_medium,2
05_very_high,04_high,4
02_low,02_low,2
03_medium,01_very_low,2
02_low,02_low,2
04_high,01_very_low,2
04_high,03_medium,3
04_high,01_very_low,2
04_high,02_low,3
04_high,05_very_high,4
05_very_high,03_medium,4
05_very_high,01_very_low,3
04_high,05_very_high,4
03_medium,02_low,2
01_very_low,05_very_high,3
03_medium,03_medium,3
03_medium,02_low,2
04_high,05_very_high,4
03_medium,03_medium,3
04_high,05_very_high,4
03_medium,05_very_high,4
04_high,02_low,3
01_very_low,04_high,2
01_very_low,03_medium,2
04_high,03_medium,3
03_medium,04_high,3
05_very_high,01_very_low,3
01_very_low,04_high,2
01_very_low,04_high,2
04_high,03_medium,3
04_high,04_high,4
01_very_low,04_high,2
05_very_high,05_very_high,5
04_high,04_high,4
03_medium,05_very_high,4
03_medium,03_medium,3
05_very_high,02_low,3
03_medium,02_low,2
01_very_low,02_low,1
05_very_high,04_high,4
03_medium,04_high,3
02_low,01_very_low,1
04_high,05_very_high,4
01_very_low,03_medium,2
04_high,05_very_high,4
01_very_low,05_very_high,3
02_low,03_medium,2
05_very_high,04_high,4
02_low,02_low,2
01_very_low,02_low,1
05_very_high,03_medium,4
04_high,03_medium,3
02_low,04_high,3
04_high,03_medium,3
04_high,02_low,3
04_high,05_very_high,4
01_very_low,02_low,1
04_high,05_very_high,4
05_very_high,02_low,3
05_very_high,02_low,3
03_medium,02_low,2
01_very_low,02_low,1
03_medium,03_medium,3
05_very_high,05_very_high,5
05_very_high,01_very_low,3
03_medium,01_very_low,2
05_very_high,01_very_low,3
05_very_high,04_high,4
04_high,02_low,3
04_high,04_high,4
05_very_high,02_low,3
02_low,04_high,3
02_low,02_low,2
03_medium,02_low,2
05_very_high,04_high,4
04_high,02_low,3
02_low,03_medium,2
01_very_low,02_low,1
04_high,03_medium,3
03_medium,05_very_high,4
01_very_low,05_very_high,3
02_low,01_very_low,1
04_high,04_high,4
01_very_low,01_very_low,1
05_very_high,02_low,3
04_high,01_very_low,2
04_high,01_very_low,2
02_low,05_very_high,3
03_medium,04_high,3
05_very_high,02_low,3
01_very_low,04_high,2
02_low,02_low,2
02_low,01_very_low,1
04_high,05_very_high,4
01_very_low,01_very_low,1
01_very_low,01_very_low,1
05_very_high,03_medium,4
04_high,03_medium,3
03_medium,01_very_low,2
03_medium,02_low,2
04_high,03_medium,3
04_high,02_low,3
05_very_high,05_very_high,5
02_low,04_high,3
01_very_low,02_low,1
04_high,05_very_high,4
03_medium,02_low,2
03_medium,05_very_high,4
05_very_high,03_medium,4
05_very_high,03_medium,4
04_high,03_medium,3
02_low,03_medium,2
02_low,05_very_high,3
04_high,01_very_low,2
04_high,05_very_high,4
01_very_low,03_medium,2
02_low,04_high,3
02_low,02_low,2
05_very_high,05_very_high,5
03_medium,05_very_high,4
02_low,03_medium,2
01_very_low,03_medium,2
03_medium,01_very_low,2
03_medium,05_very_high,4
05_very_high,01_very_low,3
04_high,05_very_high,4
05_very_high,01_very_low,3
04_high,01_very_low,2
01_very_low,02_low,1
05_very_high,01_very_low,3
03_medium,04_high,3
05_very_high,02_low,3
05_very_high,01_very_low,3
02_low,01_very_low,1
02_low,03_medium,2
01_very_low,02_low,1
01_very_low,02_low,1
04_high,05_very_high,4
03_medium,01_very_low,2
03_medium,04_high,3
05_very_high,02_low,3
01_very_low,04_high,2
04_high,05_very_high,4
05_very_high,05_very_high,5
01_very_low,03_medium,2
02_low,05_very_high,3
04_high,02_low,3
04_high,05_very_high,4
05_very_high,04_high,4
01_very_low,05_very_high,3
05_very_high,01_very_low,3
05_very_high,01_very_low,3
02_low,05_very_high,3
02_low,01_very_low,1
01_very_low,04_high,2
01_very_low,03_medium,2
01_very_low,01_very_low,1
