input,score,rank
05_very_high,5,5
05_very_high,5,5
02_low,2,2
03_medium,3,4
01_very_low,1,1
02_low,2,3
01_very_low,1,4
03_medium,3,3
01_very_low,1,4
05_very_high,5,5
03_medium,3,3
03_medium,3,3
05_very_high,5,5
01_very_low,1,
02_low,2,4
03_medium,3,5
04_high,4,4
02_low,2,3
03_medium,3,3
02_low,2,2
03_medium,3,5
03_medium,3,5
03_medium,3,4
04_high,4,4
02_low,2,3
04_high,4,4
02_low,2,2
04_high,4,4
01_very_low,1,4
03_medium,3,3
01_very_low,1,4
02_low,2,2
05_very_high,5,5
03_medium,3,5
01_very_low,1,3
03_medium,3,3
04_high,4,4
04_high,4,4
01_very_low,1,3
03_medium,3,3
01_very_low,1,2
04_high,4,4
03_medium,3,3
04_high,4,
05_very_high,5,5
05_very_high,5,5
05_very_high,5,5
05_very_high,5,5
01_very_low,1,5
04_high,4,4
01_very_low,1,4
05_very_high,5,5
05_very_high,5,5
05_very_high,5,5
03_medium,3,4
03_medium,3,3
01_very_low,1,3
05_very_high,5,5
03_medium,3,4
01_very_low,1,5
04_high,4,4
03_medium,3,5
02_low,2,2
01_very_low,1,4
04_high,4,4
03_medium,3,3
03_medium,3,4
05_very_high,5,5
01_very_low,1,5
01_very_low,1,1
04_high,4,4
05_very_high,5,5
01_very_low,1,1
05_very_high,5,
02_low,2,4
04_high,4,4
01_very_low,1,2
03_medium,3,4
03_medium,3,4
02_low,2,4
02_low,2,5
05_very_high,5,5
02_low,2,2
03_medium,3,3
01_very_low,1,1
03_medium,3,3
01_very_low,1,1
01_very_low,1,4
05_very_high,5,5
01_very_low,1,5
01_very_low,1,4
04_high,4,4
02_low,2,4
05_very_high,5,5
05_very_high,5,5
02_low,2,3
02_low,2,5
04_high,4,4
04_high,4,4
02_low,2,3
05_very_high,5,5
02_low,2,2
03_medium,3,3
02_low,2,
04_high,4,4
04_high,4,4
04_high,4,4
04_high,4,4
04_high,4,5
05_very_high,5,5
05_very_high,5,5
04_high,4,5
03_medium,3,3
01_very_low,1,5
03_medium,3,3
03_medium,3,3
04_high,4,5
03_medium,3,3
04_high,4,5
03_medium,3,5
04_high,4,4
01_very_low,1,4
01_very_low,1,3
04_high,4,4
03_medium,3,4
05_very_high,5,5
01_very_low,1,4
01_very_low,1,4
04_high,4,4
04_high,4,4
01_very_low,1,4
05_very_high,5,5
04_high,4,4
03_medium,3,
03_medium,3,3
05_very_high,5,5
03_medium,3,3
01_very_low,1,2
05_very_high,5,5
03_medium,3,4
02_low,2,2
04_high,4,5
01_very_low,1,3
04_high,4,5
01_very_low,1,5
02_low,2,3
05_very_high,5,5
02_low,2,2
01_very_low,1,2
05_very_high,5,5
04_high,4,4
02_low,2,4
04_high,4,4
04_high,4,4
04_high,4,5
01_very_low,1,2
04_high,4,5
05_very_high,5,5
05_very_high,5,5
03_medium,3,3
01_very_low,1,2
03_medium,3,3
05_very_high,5,5
05_very_high,5,
03_medium,3,3
05_very_high,5,5
05_very_high,5,5
04_high,4,4
04_high,4,4
05_very_high,5,5
02_low,2,4
02_low,2,2
03_medium,3,3
05_very_high,5,5
04_high,4,4
02_low,2,3
01_very_low,1,2
04_high,4,4
03_medium,3,5
01_very_low,1,5
02_low,2,2
04_high,4,4
01_very_low,1,1
05_very_high,5,5
04_high,4,4
04_high,4,4
02_low,2,5
03_medium,3,4
05_very_high,5,5
01_very_low,1,4
02_low,2,2
02_low,2,2
04_high,4,5
01_very_low,1,
01_very_low,1,1
05_very_high,5,5
04_high,4,4
03_medium,3,3
03_medium,3,3
04_high,4,4
04_high,4,4
05_very_high,5,5
02_low,2,4
01_very_low,1,2
04_high,4,5
03_medium,3,3
03_medium,3,5
05_very_high,5,5
05_very_high,5,5
04_high,4,4
02_low,2,3
02_low,2,5
04_high,4,4
04_high,4,5
01_very_low,1,3
02_low,2,4
02_low,2,2
05_very_high,5,5
03_medium,3,5
02_low,2,3
01_very_low,1,3
03_medium,3,3
03_medium,3,5
05_very_high,5,
04_high,4,5
05_very_high,5,5
04_high,4,4
01_very_low,1,2
05_very_high,5,5
03_medium,3,4
05_very_high,5,5
05_very_high,5,5
02_low,2,2
02_low,2,3
01_very_low,1,2
01_very_low,1,2
04_high,4,5
03_medium,3,3
03_medium,3,4
05_very_high,5,5
01_very_low,1,4
04_high,4,5
05_very_high,5,5
01_very_low,1,3
02_low,2,5
04_high,4,4
04_high,4,5
05_very_high,5,5
01_very_low,1,5
05_very_high,5,5
05_very_high,5,5
02_low,2,5
02_low,2,2
01_very_low,1,
01_very_low,1,3
01_very_low,1,1
05_very_high,5,5
05_very_high,5,5
04_high,4,5
02_low,2,5
01_very_low,1,2
05_very_high,5,5
03_medium,3,4
02_low,2,4
02_low,2,3
02_low,2,3
05_very_high,5,5
04_high,4,4
01_very_low,1,2
02_low,2,4
03_medium,3,5
02_low,2,2
04_high,4,4
03_medium,3,3
02_low,2,3
03_medium,3,5
05_very_high,5,5
02_low,2,2
03_medium,3,5
04_high,4,4
04_high,4,5
05_very_high,5,5
03_medium,3,3
01_very_low,1,
04_high,4,5
04_high,4,4
01_very_low,1,2
02_low,2,3
02_low,2,3
03_medium,3,3
02_low,2,2
05_very_high,5,5
05_very_high,5,5
04_high,4,4
03_medium,3,3
03_medium,3,3
03_medium,3,4
01_very_low,1,4
03_medium,3,3
02_low,2,2
05_very_high,5,5
03_medium,3,5
05_very_high,5,5
02_low,2,3
02_low,2,5
01_very_low,1,1
05_very_high,5,5
01_very_low,1,2
02_low,2,3
01_very_low,1,3
04_high,4,4
03_medium,3,3
05_very_high,5,5
05_very_high,5,
03_medium,3,5
01_very_low,1,1
01_very_low,1,4
04_high,4,4
02_low,2,2
02_low,2,4
01_very_low,1,5
01_very_low,1,3
01_very_low,1,4
01_very_low,1,2
04_high,4,4
02_low,2,3
05_very_high,5,5
01_very_low,1,5
01_very_low,1,1
02_low,2,2
01_very_low,1,4
05_very_high,5,5
03_medium,3,4
04_high,4,4
05_very_high,5,5
01_very_low,1,2
01_very_low,1,3
03_medium,3,3
05_very_high,5,5
01_very_low,1,2
03_medium,3,4
01_very_low,1,5
01_very_low,1,4
01_very_low,1,
01_very_low,1,2
03_medium,3,3
05_very_high,5,5
01_very_low,1,5
04_high,4,4
03_medium,3,3
02_low,2,2
02_low,2,2
02_low,2,2
02_low,2,2
03_medium,3,3
01_very_low,1,1
05_very_high,5,5
02_low,2,5
01_very_low,1,5
01_very_low,1,2
02_low,2,3
01_very_low,1,4
02_low,2,2
02_low,2,5
03_medium,3,4
04_high,4,4
05_very_high,5,5
04_high,4,4
03_medium,3,3
05_very_high,5,5
04_high,4,4
02_low,2,5
05_very_high,5,5
05_very_high,5,
04_high,4,4
02_low,2,2
02_low,2,5
02_low,2,2
01_very_low,1,5
03_medium,3,5
04_high,4,5
03_medium,3,3
04_high,4,4
04_high,4,4
01_very_low,1,4
01_very_low,1,4
03_medium,3,4
05_very_high,5,5
03_medium,3,5
04_high,4,4
04_high,4,4
04_high,4,5
01_very_low,1,5
04_high,4,4
04_high,4,5
04_high,4,5
03_medium,3,5
02_low,2,5
01_very_low,1,1
05_very_high,5,5
03_medium,3,3
02_low,2,2
05_very_high,5,5
04_high,4,
05_very_high,5,5
04_high,4,4
02_low,2,4
01_very_low,1,2
05_very_high,5,5
03_medium,3,3
01_very_low,1,4
01_very_low,1,2
05_very_high,5,5
04_high,4,5
02_low,2,4
01_very_low,1,3
01_very_low,1,4
04_high,4,4
01_very_low,1,5
04_high,4,4
01_very_low,1,3
05_very_high,5,5
05_very_high,5,5
01_very_low,1,4
01_very_low,1,1
04_high,4,5
04_high,4,4
03_medium,3,3
02_low,2,2
03_medium,3,5
03_medium,3,3
01_very_low,1,4
02_low,2,5
05_very_high,5,
05_very_high,5,5
02_low,2,3
05_very_high,5,5
04_high,4,4
05_very_high,5,5
01_very_low,1,1
04_high,4,4
04_high,4,4
03_medium,3,4
03_medium,3,3
04_high,4,4
02_low,2,2
04_high,4,5
04_high,4,5
02_low,2,3
04_high,4,5
