started,ended,target
2024-01-01T00:00:00Z,2024-01-01T00:45:00Z,20.000000
2024-01-01T01:00:00Z,2024-01-01T01:45:00Z,20.500000
2024-01-01T02:00:00Z,2024-01-01T02:45:00Z,21.000000
2024-01-01T03:00:00Z,2024-01-01T03:45:00Z,21.500000
2024-01-01T04:00:00Z,2024-01-01T04:45:00Z,22.000000
2024-01-01T05:00:00Z,2024-01-01T05:45:00Z,22.500000
2024-01-01T06:00:00Z,2024-01-01T06:45:00Z,23.000000
2024-01-01T07:00:00Z,2024-01-01T07:45:00Z,23.500000
2024-01-01T08:00:00Z,2024-01-01T08:45:00Z,24.000000
2024-01-01T09:00:00Z,2024-01-01T09:45:00Z,24.500000
2024-01-01T10:00:00Z,2024-01-01T10:45:00Z,25.000000
2024-01-01T11:00:00Z,2024-01-01T11:45:00Z,25.500000
2024-01-01T12:00:00Z,2024-01-01T12:45:00Z,26.000000
2024-01-01T13:00:00Z,2024-01-01T13:45:00Z,26.500000
2024-01-01T14:00:00Z,2024-01-01T14:45:00Z,27.000000
2024-01-01T15:00:00Z,2024-01-01T15:45:00Z,27.500000
2024-01-01T16:00:00Z,2024-01-01T16:45:00Z,28.000000
2024-01-01T17:00:00Z,2024-01-01T17:45:00Z,28.500000
2024-01-01T18:00:00Z,2024-01-01T18:45:00Z,29.000000
2024-01-01T19:00:00Z,2024-01-01T19:45:00Z,29.500000
2024-01-01T20:00:00Z,2024-01-01T20:45:00Z,30.000000
2024-01-01T21:00:00Z,2024-01-01T21:45:00Z,30.500000
2024-01-01T22:00:00Z,2024-01-01T22:45:00Z,31.000000
2024-01-01T23:00:00Z,2024-01-01T23:45:00Z,31.500000
2024-01-02T00:00:00Z,2024-01-02T00:45:00Z,20.000000
2024-01-02T01:00:00Z,2024-01-02T01:45:00Z,20.500000
2024-01-02T02:00:00Z,2024-01-02T02:45:00Z,21.000000
2024-01-02T03:00:00Z,2024-01-02T03:45:00Z,21.500000
2024-01-02T04:00:00Z,2024-01-02T04:45:00Z,22.000000
2024-01-02T05:00:00Z,2024-01-02T05:45:00Z,22.500000
2024-01-02T06:00:00Z,2024-01-02T06:45:00Z,23.000000
2024-01-02T07:00:00Z,2024-01-02T07:45:00Z,23.500000
2024-01-02T08:00:00Z,2024-01-02T08:45:00Z,24.000000
2024-01-02T09:00:00Z,2024-01-02T09:45:00Z,24.500000
2024-01-02T10:00:00Z,2024-01-02T10:45:00Z,25.000000
2024-01-02T11:00:00Z,2024-01-02T11:45:00Z,25.500000
2024-01-02T12:00:00Z,2024-01-02T12:45:00Z,26.000000
2024-01-02T13:00:00Z,2024-01-02T13:45:00Z,26.500000
2024-01-02T14:00:00Z,2024-01-02T14:45:00Z,27.000000
2024-01-02T15:00:00Z,2024-01-02T15:45:00Z,27.500000
2024-01-02T16:00:00Z,2024-01-02T16:45:00Z,28.000000
2024-01-02T17:00:00Z,2024-01-02T17:45:00Z,28.500000
2024-01-02T18:00:00Z,2024-01-02T18:45:00Z,29.000000
2024-01-02T19:00:00Z,2024-01-02T19:45:00Z,29.500000
2024-01-02T20:00:00Z,2024-01-02T20:45:00Z,30.000000
2024-01-02T21:00:00Z,2024-01-02T21:45:00Z,30.500000
2024-01-02T22:00:00Z,2024-01-02T22:45:00Z,31.000000
2024-01-02T23:00:00Z,2024-01-02T23:45:00Z,31.500000
2024-01-03T00:00:00Z,2024-01-03T00:45:00Z,20.000000
2024-01-03T01:00:00Z,2024-01-03T01:45:00Z,20.500000
2024-01-03T02:00:00Z,2024-01-03T02:45:00Z,21.000000
2024-01-03T03:00:00Z,2024-01-03T03:45:00Z,21.500000
2024-01-03T04:00:00Z,2024-01-03T04:45:00Z,22.000000
2024-01-03T05:00:00Z,2024-01-03T05:45:00Z,22.500000
2024-01-03T06:00:00Z,2024-01-03T06:45:00Z,23.000000
2024-01-03T07:00:00Z,2024-01-03T07:45:00Z,23.500000
2024-01-03T08:00:00Z,2024-01-03T08:45:00Z,24.000000
2024-01-03T09:00:00Z,2024-01-03T09:45:00Z,24.500000
2024-01-03T10:00:00Z,2024-01-03T10:45:00Z,25.000000
2024-01-03T11:00:00Z,2024-01-03T11:45:00Z,25.500000
2024-01-03T12:00:00Z,2024-01-03T12:45:00Z,26.000000
2024-01-03T13:00:00Z,2024-01-03T13:45:00Z,26.500000
2024-01-03T14:00:00Z,2024-01-03T14:45:00Z,27.000000
2024-01-03T15:00:00Z,2024-01-03T15:45:00Z,27.500000
2024-01-03T16:00:00Z,2024-01-03T16:45:00Z,28.000000
2024-01-03T17:00:00Z,2024-01-03T17:45:00Z,28.500000
2024-01-03T18:00:00Z,2024-01-03T18:45:00Z,29.000000
2024-01-03T19:00:00Z,2024-01-03T19:45:00Z,29.500000
2024-01-03T20:00:00Z,2024-01-03T20:45:00Z,30.000000
2024-01-03T21:00:00Z,2024-01-03T21:45:00Z,30.500000
2024-01-03T22:00:00Z,2024-01-03T22:45:00Z,31.000000
2024-01-03T23:00:00Z,2024-01-03T23:45:00Z,31.500000
2024-01-04T00:00:00Z,2024-01-04T00:45:00Z,20.000000
2024-01-04T01:00:00Z,2024-01-04T01:45:00Z,20.500000
2024-01-04T02:00:00Z,2024-01-04T02:45:00Z,21.000000
2024-01-04T03:00:00Z,2024-01-04T03:45:00Z,21.500000
2024-01-04T04:00:00Z,2024-01-04T04:45:00Z,22.000000
2024-01-04T05:00:00Z,2024-01-04T05:45:00Z,22.500000
2024-01-04T06:00:00Z,2024-01-04T06:45:00Z,23.000000
2024-01-04T07:00:00Z,2024-01-04T07:45:00Z,23.500000
2024-01-04T08:00:00Z,2024-01-04T08:45:00Z,24.000000
2024-01-04T09:00:00Z,2024-01-04T09:45:00Z,24.500000
2024-01-04T10:00:00Z,2024-01-04T10:45:00Z,25.000000
2024-01-04T11:00:00Z,2024-01-04T11:45:00Z,25.500000
