input,load,cost
2024-01-01T00:00:00Z,20.000000,8.510032
2024-01-01T01:00:00Z,20.500000,8.790144
2024-01-01T02:00:00Z,21.000000,7.552452
2024-01-01T03:00:00Z,21.500000,8.789820
2024-01-01T04:00:00Z,22.000000,6.921888
2024-01-01T05:00:00Z,22.500000,5.735704
2024-01-01T06:00:00Z,23.000000,
2024-01-01T07:00:00Z,23.500000,8.109076
2024-01-01T08:00:00Z,24.000000,6.171644
2024-01-01T09:00:00Z,24.500000,7.569556
2024-01-01T10:00:00Z,25.000000,7.447460
2024-01-01T11:00:00Z,25.500000,7.663148
2024-01-01T12:00:00Z,26.000000,8.582824
2024-01-01T13:00:00Z,26.500000,
2024-01-01T14:00:00Z,27.000000,8.469220
2024-01-01T15:00:00Z,27.500000,7.808596
2024-01-01T16:00:00Z,28.000000,5.305492
2024-01-01T17:00:00Z,28.500000,7.671388
2024-01-01T18:00:00Z,29.000000,8.419440
2024-01-01T19:00:00Z,29.500000,8.243844
2024-01-01T20:00:00Z,30.000000,
2024-01-01T21:00:00Z,30.500000,6.329360
2024-01-01T22:00:00Z,31.000000,5.810664
2024-01-01T23:00:00Z,31.500000,5.765580
2024-01-02T00:00:00Z,20.000000,6.283236
2024-01-02T01:00:00Z,20.500000,8.310896
2024-01-02T02:00:00Z,21.000000,6.257020
2024-01-02T03:00:00Z,21.500000,
2024-01-02T04:00:00Z,22.000000,8.489280
2024-01-02T05:00:00Z,22.500000,5.853948
2024-01-02T06:00:00Z,23.000000,8.191504
2024-01-02T07:00:00Z,23.500000,5.578120
2024-01-02T08:00:00Z,24.000000,7.441344
2024-01-02T09:00:00Z,24.500000,6.809688
2024-01-02T10:00:00Z,25.000000,
2024-01-02T11:00:00Z,25.500000,5.888448
2024-01-02T12:00:00Z,26.000000,5.716848
2024-01-02T13:00:00Z,26.500000,6.879048
2024-01-02T14:00:00Z,27.000000,6.730928
2024-01-02T15:00:00Z,27.500000,6.118808
2024-01-02T16:00:00Z,28.000000,5.380600
2024-01-02T17:00:00Z,28.500000,
2024-01-02T18:00:00Z,29.000000,6.432660
2024-01-02T19:00:00Z,29.500000,7.677888
2024-01-02T20:00:00Z,30.000000,7.926176
2024-01-02T21:00:00Z,30.500000,6.120328
2024-01-02T22:00:00Z,31.000000,6.376472
2024-01-02T23:00:00Z,31.500000,7.404812
2024-01-03T00:00:00Z,20.000000,
2024-01-03T01:00:00Z,20.500000,6.931448
2024-01-03T02:00:00Z,21.000000,8.816184
2024-01-03T03:00:00Z,21.500000,8.945260
2024-01-03T04:00:00Z,22.000000,8.563364
2024-01-03T05:00:00Z,22.500000,5.741636
2024-01-03T06:00:00Z,23.000000,5.155732
2024-01-03T07:00:00Z,23.500000,
2024-01-03T08:00:00Z,24.000000,8.952244
2024-01-03T09:00:00Z,24.500000,6.310348
2024-01-03T10:00:00Z,25.000000,8.642144
2024-01-03T11:00:00Z,25.500000,7.960532
2024-01-03T12:00:00Z,26.000000,7.998028
2024-01-03T13:00:00Z,26.500000,6.954516
2024-01-03T14:00:00Z,27.000000,
2024-01-03T15:00:00Z,27.500000,7.094112
2024-01-03T16:00:00Z,28.000000,8.086744
2024-01-03T17:00:00Z,28.500000,6.003640
2024-01-03T18:00:00Z,29.000000,7.086164
2024-01-03T19:00:00Z,29.500000,7.843080
2024-01-03T20:00:00Z,30.000000,5.936228
2024-01-03T21:00:00Z,30.500000,
2024-01-03T22:00:00Z,31.000000,8.834832
2024-01-03T23:00:00Z,31.500000,8.708448
2024-01-04T00:00:00Z,20.000000,8.969368
2024-01-04T01:00:00Z,20.500000,7.934544
2024-01-04T02:00:00Z,21.000000,7.036520
2024-01-04T03:00:00Z,21.500000,8.318492
2024-01-04T04:00:00Z,22.000000,
2024-01-04T05:00:00Z,22.500000,7.002656
2024-01-04T06:00:00Z,23.000000,5.572532
2024-01-04T07:00:00Z,23.500000,7.653640
2024-01-04T08:00:00Z,24.000000,6.567364
2024-01-04T09:00:00Z,24.500000,6.190620
2024-01-04T10:00:00Z,25.000000,8.526828
2024-01-04T11:00:00Z,25.500000,
