started,ended,load,cost
2024-01-01T00:00:00Z,2024-01-01T00:45:00Z,20.000000,6.827984
2024-01-01T01:00:00Z,2024-01-01T01:45:00Z,20.500000,6.801624
2024-01-01T02:00:00Z,2024-01-01T02:45:00Z,21.000000,7.549116
2024-01-01T03:00:00Z,2024-01-01T03:45:00Z,21.500000,8.244212
2024-01-01T04:00:00Z,2024-01-01T04:45:00Z,22.000000,7.297608
2024-01-01T05:00:00Z,2024-01-01T05:45:00Z,22.500000,6.474460
2024-01-01T06:00:00Z,2024-01-01T06:45:00Z,23.000000,
2024-01-01T07:00:00Z,2024-01-01T07:45:00Z,23.500000,5.284876
2024-01-01T08:00:00Z,2024-01-01T08:45:00Z,24.000000,6.363880
2024-01-01T09:00:00Z,2024-01-01T09:45:00Z,24.500000,5.685032
2024-01-01T10:00:00Z,2024-01-01T10:45:00Z,25.000000,8.817808
2024-01-01T11:00:00Z,2024-01-01T11:45:00Z,25.500000,7.425140
2024-01-01T12:00:00Z,2024-01-01T12:45:00Z,26.000000,5.122580
2024-01-01T13:00:00Z,2024-01-01T13:45:00Z,26.500000,
2024-01-01T14:00:00Z,2024-01-01T14:45:00Z,27.000000,6.508704
2024-01-01T15:00:00Z,2024-01-01T15:45:00Z,27.500000,5.542388
2024-01-01T16:00:00Z,2024-01-01T16:45:00Z,28.000000,7.229264
2024-01-01T17:00:00Z,2024-01-01T17:45:00Z,28.500000,6.593308
2024-01-01T18:00:00Z,2024-01-01T18:45:00Z,29.000000,7.721512
2024-01-01T19:00:00Z,2024-01-01T19:45:00Z,29.500000,6.311164
2024-01-01T20:00:00Z,2024-01-01T20:45:00Z,30.000000,
2024-01-01T21:00:00Z,2024-01-01T21:45:00Z,30.500000,7.153180
2024-01-01T22:00:00Z,2024-01-01T22:45:00Z,31.000000,5.483164
2024-01-01T23:00:00Z,2024-01-01T23:45:00Z,31.500000,7.421072
2024-01-02T00:00:00Z,2024-01-02T00:45:00Z,20.000000,5.717400
2024-01-02T01:00:00Z,2024-01-02T01:45:00Z,20.500000,6.817544
2024-01-02T02:00:00Z,2024-01-02T02:45:00Z,21.000000,8.955796
2024-01-02T03:00:00Z,2024-01-02T03:45:00Z,21.500000,
2024-01-02T04:00:00Z,2024-01-02T04:45:00Z,22.000000,5.042508
2024-01-02T05:00:00Z,2024-01-02T05:45:00Z,22.500000,6.175136
2024-01-02T06:00:00Z,2024-01-02T06:45:00Z,23.000000,6.320568
2024-01-02T07:00:00Z,2024-01-02T07:45:00Z,23.500000,8.272044
2024-01-02T08:00:00Z,2024-01-02T08:45:00Z,24.000000,7.476308
2024-01-02T09:00:00Z,2024-01-02T09:45:00Z,24.500000,8.661820
2024-01-02T10:00:00Z,2024-01-02T10:45:00Z,25.000000,
