started,ended,target
2024-01-02T22:00:00Z,2024-01-02T22:45:00Z,31.000000
2024-01-02T23:00:00Z,2024-01-02T23:45:00Z,31.500000
2024-01-03T00:00:00Z,2024-01-03T00:45:00Z,20.000000
2024-01-03T01:00:00Z,2024-01-03T01:45:00Z,20.500000
2024-01-03T02:00:00Z,2024-01-03T02:45:00Z,21.000000
2024-01-03T03:00:00Z,2024-01-03T03:45:00Z,21.500000
2024-01-03T04:00:00Z,2024-01-03T04:45:00Z,22.000000
2024-01-03T05:00:00Z,2024-01-03T05:45:00Z,22.500000
2024-01-03T06:00:00Z,2024-01-03T06:45:00Z,23.000000
2024-01-03T07:00:00Z,2024-01-03T07:45:00Z,23.500000
2024-01-03T08:00:00Z,2024-01-03T08:45:00Z,24.000000
2024-01-03T09:00:00Z,2024-01-03T09:45:00Z,24.500000
2024-01-03T10:00:00Z,2024-01-03T10:45:00Z,25.000000
2024-01-03T11:00:00Z,2024-01-03T11:45:00Z,25.500000
2024-01-03T12:00:00Z,2024-01-03T12:45:00Z,26.000000
2024-01-03T13:00:00Z,2024-01-03T13:45:00Z,26.500000
2024-01-03T14:00:00Z,2024-01-03T14:45:00Z,27.000000
2024-01-03T15:00:00Z,2024-01-03T15:45:00Z,27.500000
2024-01-03T16:00:00Z,2024-01-03T16:45:00Z,28.000000
2024-01-03T17:00:00Z,2024-01-03T17:45:00Z,28.500000
2024-01-03T18:00:00Z,2024-01-03T18:45:00Z,29.000000
2024-01-03T19:00:00Z,2024-01-03T19:45:00Z,29.500000
2024-01-03T20:00:00Z,2024-01-03T20:45:00Z,30.000000
