started,ended,load,cost
2024-01-01T23:00:00Z,2024-01-01T23:45:00Z,31.500000,7.421072
2024-01-02T00:00:00Z,2024-01-02T00:45:00Z,20.000000,5.717400
2024-01-02T01:00:00Z,2024-01-02T01:45:00Z,20.500000,6.817544
2024-01-02T02:00:00Z,2024-01-02T02:45:00Z,21.000000,8.955796
2024-01-02T03:00:00Z,2024-01-02T03:45:00Z,21.500000,7.418460
2024-01-02T04:00:00Z,2024-01-02T04:45:00Z,22.000000,5.042508
2024-01-02T05:00:00Z,2024-01-02T05:45:00Z,22.500000,
2024-01-02T06:00:00Z,2024-01-02T06:45:00Z,23.000000,6.320568
2024-01-02T07:00:00Z,2024-01-02T07:45:00Z,23.500000,8.272044
2024-01-02T08:00:00Z,2024-01-02T08:45:00Z,24.000000,7.476308
2024-01-02T09:00:00Z,2024-01-02T09:45:00Z,24.500000,8.661820
2024-01-02T10:00:00Z,2024-01-02T10:45:00Z,25.000000,5.212132
2024-01-02T11:00:00Z,2024-01-02T11:45:00Z,25.500000,5.707880
2024-01-02T12:00:00Z,2024-01-02T12:45:00Z,26.000000,
2024-01-02T13:00:00Z,2024-01-02T13:45:00Z,26.500000,5.450196
2024-01-02T14:00:00Z,2024-01-02T14:45:00Z,27.000000,5.071104
2024-01-02T15:00:00Z,2024-01-02T15:45:00Z,27.500000,8.583196
2024-01-02T16:00:00Z,2024-01-02T16:45:00Z,28.000000,5.650700
2024-01-02T17:00:00Z,2024-01-02T17:45:00Z,28.500000,5.151236
2024-01-02T18:00:00Z,2024-01-02T18:45:00Z,29.000000,6.021672
2024-01-02T19:00:00Z,2024-01-02T19:45:00Z,29.500000,
2024-01-02T20:00:00Z,2024-01-02T20:45:00Z,30.000000,6.816868
2024-01-02T21:00:00Z,2024-01-02T21:45:00Z,30.500000,6.122756
