input,load,cost
2024-01-01T00:00:00Z,20.000000,8.510032
2024-01-01T01:00:00Z,20.500000,8.790144
2024-01-01T02:00:00Z,21.000000,7.552452
2024-01-01T03:00:00Z,21.500000,8.789820
2024-01-01T04:00:00Z,22.000000,6.921888
2024-01-01T05:00:00Z,22.500000,5.735704
2024-01-01T06:00:00Z,23.000000,
2024-01-01T07:00:00Z,23.500000,8.109076
2024-01-01T08:00:00Z,24.000000,6.171644
2024-01-01T09:00:00Z,24.500000,7.569556
2024-01-01T10:00:00Z,25.000000,7.447460
2024-01-01T11:00:00Z,25.500000,7.663148
2024-01-01T12:00:00Z,26.000000,8.582824
2024-01-01T13:00:00Z,26.500000,
2024-01-01T14:00:00Z,27.000000,8.469220
2024-01-01T15:00:00Z,27.500000,7.808596
2024-01-01T16:00:00Z,28.000000,5.305492
2024-01-01T17:00:00Z,28.500000,7.671388
2024-01-01T18:00:00Z,29.000000,8.419440
2024-01-01T19:00:00Z,29.500000,8.243844
2024-01-01T20:00:00Z,30.000000,
2024-01-01T21:00:00Z,30.500000,6.329360
2024-01-01T22:00:00Z,31.000000,5.810664
