started,ended,duration,load
2024-03-28T20:52:00Z,2024-04-01T01:22:00Z,4.5000,12.6676
2024-02-21T17:35:00Z,2024-02-21T19:05:00Z,1.5000,10.0620
2024-02-04T14:32:00Z,2024-02-04T23:17:00Z,8.7500,13.8586
2024-02-13T10:54:00Z,2024-02-13T18:09:00Z,7.2500,22.8540
2024-01-06T10:05:00Z,2024-01-06T10:35:00Z,0.5000,24.8216
2024-02-10T23:42:00Z,2024-02-11T00:57:00Z,1.2500,
2024-02-17T07:30:00Z,2024-02-17T13:30:00Z,6.0000,29.2426
2024-03-07T20:40:00Z,2024-03-07T22:10:00Z,1.5000,12.3220
2024-01-28T17:07:00Z,2024-02-01T00:07:00Z,7.0000,10.2714
2024-03-02T10:55:00Z,2024-03-02T18:40:00Z,7.7500,22.8122
2024-03-28T02:03:00Z,2024-03-28T05:18:00Z,3.2500,25.1106
2024-02-15T05:41:00Z,2024-02-15T07:56:00Z,2.2500,29.9650
2024-01-24T14:22:00Z,2024-01-24T18:52:00Z,4.5000,14.2085
2024-03-20T15:56:00Z,2024-03-20T22:41:00Z,6.7500,11.4392
2024-02-27T20:08:00Z,2024-02-28T05:08:00Z,9.0000,11.5054
2024-03-14T20:52:00Z,2024-03-14T22:22:00Z,1.5000,12.6676
2024-03-28T20:30:00Z,2024-04-01T02:30:00Z,6.0000,12.0499
2024-01-14T03:42:00Z,2024-01-14T09:42:00Z,6.0000,28.2385
2024-03-05T03:32:00Z,2024-03-05T12:32:00Z,9.0000,27.9835
2024-03-13T18:47:00Z,2024-03-14T01:02:00Z,6.2500,10.2045
2024-02-13T00:36:00Z,2024-02-13T06:06:00Z,5.5000,21.5636
2024-02-18T00:34:00Z,2024-02-18T05:34:00Z,5.0000,21.4774
2024-03-20T13:22:00Z,2024-03-20T15:07:00Z,1.7500,16.5145
2024-03-27T05:23:00Z,2024-03-27T05:53:00Z,0.5000,29.8688
2024-02-10T14:31:00Z,2024-02-11T00:16:00Z,9.7500,13.8931
2024-01-18T10:21:00Z,2024-01-18T15:06:00Z,4.7500,
2024-01-24T14:17:00Z,2024-01-24T23:47:00Z,9.5000,14.3876
2024-01-25T19:52:00Z,2024-01-26T00:22:00Z,4.5000,11.1582
2024-02-15T09:51:00Z,2024-02-15T19:36:00Z,9.7500,25.3472
2024-01-16T21:06:00Z,2024-01-17T02:06:00Z,5.0000,13.0962
2024-03-05T09:52:00Z,2024-03-05T11:52:00Z,2.0000,25.3103
2024-02-02T23:23:00Z,2024-02-03T09:08:00Z,9.7500,18.3620
2024-01-25T01:49:00Z,2024-01-25T10:04:00Z,8.2500,24.5766
2024-03-12T15:25:00Z,2024-03-12T18:40:00Z,3.2500,12.2140
2024-01-02T05:48:00Z,2024-01-02T14:33:00Z,8.7500,29.9859
2024-02-25T12:50:00Z,2024-02-25T15:35:00Z,2.7500,17.8522
2024-03-15T12:52:00Z,2024-03-15T20:37:00Z,7.7500,17.7671
2024-02-27T18:51:00Z,2024-02-27T23:36:00Z,4.7500,10.2411
2024-03-03T07:14:00Z,2024-03-03T14:14:00Z,7.0000,29.4863
2024-03-10T20:29:00Z,2024-03-10T21:59:00Z,1.5000,12.0236
2024-01-03T04:31:00Z,2024-01-03T06:46:00Z,2.2500,29.2531
2024-03-13T13:43:00Z,2024-03-13T18:28:00Z,4.7500,15.6720
2024-02-13T07:01:00Z,2024-02-13T10:46:00Z,3.7500,29.6503
2024-01-10T03:51:00Z,2024-01-10T04:51:00Z,1.0000,28.4546
2024-03-04T04:44:00Z,2024-03-04T09:59:00Z,5.2500,29.4531
2024-01-25T01:26:00Z,2024-01-25T07:56:00Z,6.5000,
2024-03-17T14:25:00Z,2024-03-17T16:40:00Z,2.2500,14.1023
2024-02-02T11:08:00Z,2024-02-02T15:53:00Z,4.7500,22.2639
2024-01-06T20:28:00Z,2024-01-07T04:58:00Z,8.5000,11.9973
2024-01-06T06:00:00Z,2024-01-06T14:00:00Z,8.0000,30.0000
2024-03-22T11:29:00Z,2024-03-22T12:59:00Z,1.5000,21.3636
2024-02-10T18:30:00Z,2024-02-10T21:45:00Z,3.2500,10.0824
2024-03-21T23:49:00Z,2024-03-22T05:34:00Z,5.7500,19.4886
2024-03-11T13:24:00Z,2024-03-11T14:39:00Z,1.2500,16.4329
2024-01-02T18:14:00Z,2024-01-02T21:29:00Z,3.2500,10.0172
