input,load,cost
2024-03-28T20:52:00Z,12.6676,19.6673
2024-02-21T17:35:00Z,10.0620,15.6981
2024-02-04T14:32:00Z,13.8586,21.2282
2024-02-13T10:54:00Z,22.8540,34.3011
2024-01-06T10:05:00Z,24.8216,38.1784
2024-02-10T23:42:00Z,19.1841,29.5528
2024-02-17T07:30:00Z,29.2426,44.3887
2024-03-07T20:40:00Z,12.3220,18.7693
2024-01-28T17:07:00Z,10.2714,15.6823
2024-03-02T10:55:00Z,22.8122,34.6515
2024-03-28T02:03:00Z,25.1106,37.7534
2024-02-15T05:41:00Z,29.9650,
2024-01-24T14:22:00Z,14.2085,21.8834
2024-03-20T15:56:00Z,11.4392,18.1162
2024-02-27T20:08:00Z,11.5054,17.4452
2024-03-14T20:52:00Z,12.6676,19.6340
2024-03-28T20:30:00Z,12.0499,18.3922
2024-01-14T03:42:00Z,28.2385,43.0200
2024-03-05T03:32:00Z,27.9835,42.8596
2024-03-13T18:47:00Z,10.2045,15.7362
2024-02-13T00:36:00Z,21.5636,33.2753
2024-02-18T00:34:00Z,21.4774,32.5607
2024-03-20T13:22:00Z,16.5145,24.9035
2024-03-27T05:23:00Z,29.8688,45.6320
2024-02-10T14:31:00Z,13.8931,21.2634
2024-01-18T10:21:00Z,24.1991,36.5052
2024-01-24T14:17:00Z,14.3876,21.9504
2024-01-25T19:52:00Z,11.1582,17.5942
2024-02-15T09:51:00Z,25.3472,38.5977
2024-01-16T21:06:00Z,13.0962,20.5111
2024-03-05T09:52:00Z,25.3103,38.8855
2024-02-02T23:23:00Z,18.3620,
2024-01-25T01:49:00Z,24.5766,37.1334
2024-03-12T15:25:00Z,12.2140,19.1905
2024-01-02T05:48:00Z,29.9859,45.4302
2024-02-25T12:50:00Z,17.8522,27.4917
2024-03-15T12:52:00Z,17.7671,27.6461
2024-02-27T18:51:00Z,10.2411,15.6651
2024-03-03T07:14:00Z,29.4863,44.8105
2024-03-10T20:29:00Z,12.0236,18.2781
2024-01-03T04:31:00Z,29.2531,44.2113
2024-03-13T13:43:00Z,15.6720,23.9108
2024-02-13T07:01:00Z,29.6503,45.4299
2024-01-10T03:51:00Z,28.4546,43.1291
2024-03-04T04:44:00Z,29.4531,44.6059
2024-01-25T01:26:00Z,23.6632,35.5210
2024-03-17T14:25:00Z,14.1023,21.4478
2024-02-02T11:08:00Z,22.2639,34.2921
2024-01-06T20:28:00Z,11.9973,18.1488
2024-01-06T06:00:00Z,30.0000,45.9645
2024-03-22T11:29:00Z,21.3636,32.1403
2024-02-10T18:30:00Z,10.0824,
2024-03-21T23:49:00Z,19.4886,29.5641
2024-03-11T13:24:00Z,16.4329,24.7471
2024-01-02T18:14:00Z,10.0172,15.7270
2024-02-02T10:47:00Z,23.1452,35.3302
2024-01-14T15:35:00Z,11.9478,18.3671
2024-02-26T08:54:00Z,27.2619,41.5997
