input	label	length
system record 0000	0	NaN
system record 0001	1	81
system record 0002	0	82
system record 0003	1	83
system record 0004	0	84
system record 0005	1	85
system record 0006	0	86
system record 0007	1	87
system record 0008	0	88
system record 0009	1	89
system record 0010	0	90
system record 0011	1	91
system record 0012	0	92
system record 0013	1	93
system record 0014	0	94
system record 0015	1	95
system record 0016	0	NaN
system record 0017	1	80
system record 0018	0	81
system record 0019	1	82
system record 0020	0	83
system record 0021	1	84
system record 0022	0	85
system record 0023	1	86
system record 0024	0	87
system record 0025	1	88
system record 0026	0	89
system record 0027	1	90
system record 0028	0	91
system record 0029	1	92
system record 0030	0	93
system record 0031	1	94
system record 0032	0	95
system record 0033	1	NaN
system record 0034	0	80
system record 0035	1	81
system record 0036	0	82
system record 0037	1	83
system record 0038	0	84
system record 0039	1	85
system record 0040	0	86
system record 0041	1	87
system record 0042	0	88
system record 0043	1	89
system record 0044	0	90
system record 0045	1	91
system record 0046	0	92
system record 0047	1	93
system record 0048	0	94
system record 0049	1	95
system record 0050	0	NaN
system record 0051	1	80
system record 0052	0	81
system record 0053	1	82
system record 0054	0	83
system record 0055	1	84
system record 0056	0	85
system record 0057	1	86
system record 0058	0	87
system record 0059	1	88
system record 0060	0	89
system record 0061	1	90
system record 0062	0	91
system record 0063	1	92
system record 0064	0	93
system record 0065	1	94
system record 0066	0	95
system record 0067	1	NaN
system record 0068	0	80
system record 0069	1	81
system record 0070	0	82
system record 0071	1	83
system record 0072	0	84
system record 0073	1	85
system record 0074	0	86
system record 0075	1	87
system record 0076	0	88
system record 0077	1	89
system record 0078	0	90
system record 0079	1	91
system record 0080	0	92
system record 0081	1	93
system record 0082	0	94
system record 0083	1	95
system record 0084	0	NaN
system record 0085	1	80
system record 0086	0	81
system record 0087	1	82
system record 0088	0	83
system record 0089	1	84
system record 0090	0	85
system record 0091	1	86
system record 0092	0	87
system record 0093	1	88
system record 0094	0	89
system record 0095	1	90
system record 0096	0	91
system record 0097	1	92
system record 0098	0	93
system record 0099	1	94
system record 0100	0	95
system record 0101	1	NaN
system record 0102	0	80
system record 0103	1	81
system record 0104	0	82
system record 0105	1	83
system record 0106	0	84
system record 0107	1	85
system record 0108	0	86
system record 0109	1	87
system record 0110	0	88
system record 0111	1	89
system record 0112	0	90
system record 0113	1	91
system record 0114	0	92
system record 0115	1	93
system record 0116	0	94
system record 0117	1	95
system record 0118	0	NaN
system record 0119	1	80
system record 0120	0	81
system record 0121	1	82
system record 0122	0	83
system record 0123	1	84
system record 0124	0	85
system record 0125	1	86
system record 0126	0	87
system record 0127	1	88
system record 0128	0	89
system record 0129	1	90
system record 0130	0	91
system record 0131	1	92
system record 0132	0	93
system record 0133	1	94
system record 0134	0	95
system record 0135	1	NaN
system record 0136	0	80
system record 0137	1	81
system record 0138	0	82
system record 0139	1	83
system record 0140	0	84
system record 0141	1	85
system record 0142	0	86
system record 0143	1	87
system record 0144	0	88
system record 0145	1	89
system record 0146	0	90
system record 0147	1	91
system record 0148	0	92
system record 0149	1	93
system record 0150	0	94
system record 0151	1	95
system record 0152	0	NaN
system record 0153	1	80
system record 0154	0	81
system record 0155	1	82
system record 0156	0	83
system record 0157	1	84
system record 0158	0	85
system record 0159	1	86
system record 0160	0	87
system record 0161	1	88
system record 0162	0	89
system record 0163	1	90
system record 0164	0	91
system record 0165	1	92
system record 0166	0	93
system record 0167	1	94
system record 0168	0	95
system record 0169	1	NaN
system record 0170	0	80
system record 0171	1	81
system record 0172	0	82
system record 0173	1	83
system record 0174	0	84
system record 0175	1	85
system record 0176	0	86
system record 0177	1	87
system record 0178	0	88
system record 0179	1	89
system record 0180	0	90
system record 0181	1	91
system record 0182	0	92
system record 0183	1	93
system record 0184	0	94
system record 0185	1	95
system record 0186	0	NaN
system record 0187	1	80
system record 0188	0	81
system record 0189	1	82
system record 0190	0	83
system record 0191	1	84
system record 0192	0	85
system record 0193	1	86
system record 0194	0	87
system record 0195	1	88
system record 0196	0	89
system record 0197	1	90
system record 0198	0	91
system record 0199	1	92
system record 0200	0	93
system record 0201	1	94
system record 0202	0	95
system record 0203	1	NaN
system record 0204	0	80
system record 0205	1	81
system record 0206	0	82
system record 0207	1	83
system record 0208	0	84
system record 0209	1	85
system record 0210	0	86
system record 0211	1	87
system record 0212	0	88
system record 0213	1	89
system record 0214	0	90
system record 0215	1	91
system record 0216	0	92
system record 0217	1	93
system record 0218	0	94
system record 0219	1	95
system record 0220	0	NaN
system record 0221	1	80
system record 0222	0	81
system record 0223	1	82
system record 0224	0	83
system record 0225	1	84
system record 0226	0	85
system record 0227	1	86
system record 0228	0	87
system record 0229	1	88
system record 0230	0	89
system record 0231	1	90
system record 0232	0	91
system record 0233	1	92
system record 0234	0	93
system record 0235	1	94
system record 0236	0	95
system record 0237	1	NaN
system record 0238	0	80
system record 0239	1	81
system record 0240	0	82
system record 0241	1	83
system record 0242	0	84
system record 0243	1	85
system record 0244	0	86
system record 0245	1	87
system record 0246	0	88
system record 0247	1	89
system record 0248	0	90
system record 0249	1	91
system record 0250	0	92
system record 0251	1	93
system record 0252	0	94
system record 0253	1	95
system record 0254	0	NaN
system record 0255	1	80
system record 0256	0	81
system record 0257	1	82
system record 0258	0	83
system record 0259	1	84
system record 0260	0	85
system record 0261	1	86
system record 0262	0	87
system record 0263	1	88
system record 0264	0	89
system record 0265	1	90
system record 0266	0	91
system record 0267	1	92
system record 0268	0	93
system record 0269	1	94
system record 0270	0	95
system record 0271	1	NaN
system record 0272	0	80
system record 0273	1	81
system record 0274	0	82
system record 0275	1	83
system record 0276	0	84
system record 0277	1	85
system record 0278	0	86
system record 0279	1	87
system record 0280	0	88
system record 0281	1	89
system record 0282	0	90
system record 0283	1	91
system record 0284	0	92
system record 0285	1	93
system record 0286	0	94
system record 0287	1	95
system record 0288	0	NaN
system record 0289	1	80
system record 0290	0	81
system record 0291	1	82
system record 0292	0	83
system record 0293	1	84
system record 0294	0	85
system record 0295	1	86
system record 0296	0	87
system record 0297	1	88
system record 0298	0	89
system record 0299	1	90
system record 0300	0	91
system record 0301	1	92
system record 0302	0	93
system record 0303	1	94
system record 0304	0	95
system record 0305	1	NaN
system record 0306	0	80
system record 0307	1	81
system record 0308	0	82
system record 0309	1	83
system record 0310	0	84
system record 0311	1	85
system record 0312	0	86
system record 0313	1	87
system record 0314	0	88
system record 0315	1	89
system record 0316	0	90
system record 0317	1	91
system record 0318	0	92
system record 0319	1	93
system record 0320	0	94
system record 0321	1	95
system record 0322	0	NaN
system record 0323	1	80
system record 0324	0	81
system record 0325	1	82
system record 0326	0	83
system record 0327	1	84
system record 0328	0	85
system record 0329	1	86
system record 0330	0	87
system record 0331	1	88
system record 0332	0	89
system record 0333	1	90
system record 0334	0	91
system record 0335	1	92
system record 0336	0	93
system record 0337	1	94
system record 0338	0	95
system record 0339	1	NaN
system record 0340	0	80
system record 0341	1	81
system record 0342	0	82
system record 0343	1	83
system record 0344	0	84
system record 0345	1	85
system record 0346	0	86
system record 0347	1	87
system record 0348	0	88
system record 0349	1	89
system record 0350	0	90
system record 0351	1	91
system record 0352	0	92
system record 0353	1	93
system record 0354	0	94
system record 0355	1	95
system record 0356	0	NaN
system record 0357	1	80
system record 0358	0	81
system record 0359	1	82
system record 0360	0	83
system record 0361	1	84
system record 0362	0	85
system record 0363	1	86
system record 0364	0	87
system record 0365	1	88
system record 0366	0	89
system record 0367	1	90
system record 0368	0	91
system record 0369	1	92
system record 0370	0	93
system record 0371	1	94
system record 0372	0	95
system record 0373	1	NaN
system record 0374	0	80
system record 0375	1	81
system record 0376	0	82
system record 0377	1	83
system record 0378	0	84
system record 0379	1	85
system record 0380	0	86
system record 0381	1	87
system record 0382	0	88
system record 0383	1	89
system record 0384	0	90
system record 0385	1	91
system record 0386	0	92
system record 0387	1	93
system record 0388	0	94
system record 0389	1	95
system record 0390	0	NaN
system record 0391	1	80
system record 0392	0	81
system record 0393	1	82
system record 0394	0	83
system record 0395	1	84
system record 0396	0	85
system record 0397	1	86
system record 0398	0	87
system record 0399	1	88
